Year,Month,McLaughlin,White Mountain,Anza Borrego HQ ,Boyd Deep Canyon,James San Jacinto,Elliot Chaparral,SNARL,Merced,Point Reyes ,Quail Ridge ,Valentine ,Yosemite Mariposa Grove ,Pinyon crest,Jepson Prairie,Bodega 
2012,1,153.91,32.66,0.33,1.15,28.2,16.71,67.4,36.82,156.27,104.47,101.66,116.12,10.62,62.73,165.2
2012,2,55.62,1.44,10.87,19.58,40.93,40.88,7.61,12.08,46.65,39.5,19.64,29.67,32.12,26.68,40.62
2012,3,247.72,10.02,21.16,10.57,73.93,48.94,30.63,56.71,264.27,194.73,94.4,117.55,26.98,139.27,219.19
2012,4,73.39,3.71,11.67,12.92,73.3,35.26,9.15,55.04,69.7,78.2,30.44,122.02,28.82,61.64,68.55
2012,5,12.45,1.66,0,0,0,1.24,0,0.42,2.73,2.2,0,0.26,0,0,9.84
2012,6,1.54,0,0,0,0,0,4.99,7.26,3.32,0.94,10.38,7.66,0,0.65,3.02
2012,7,0,1.88,13.47,6.76,4.12,0,4.55,0,1.79,0,4.02,0.14,9.77,0,1.87
2012,8,0,12.38,28.58,37.38,52.65,0,5.86,0,0,0,20.64,0,30.5,0,0
2012,9,0,3.09,0,7.49,13.21,0,2.17,0,0,0,0,0,6.94,0,0
2012,10,30.03,9.38,0,0,5.17,11.89,15.96,8.95,54.56,26.53,26.45,17.76,0.12,27.84,37.37
2012,11,244.3,0.38,0,0,27.25,8.02,17.18,32.73,203.34,163.94,55.01,100.1,0.43,111.11,219.51
2012,12,322.76,20.87,2.91,3.79,87.13,77.18,112.4,121.91,340.96,283.9,182.21,313.53,41.88,187.32,265.13
2013,1,30.46,0.28,17.07,16.11,47,41.74,9.53,25.04,22.87,19.81,25.18,26.83,27.2,16.84,25.92
2013,2,12.59,1.47,9.11,6.28,39.15,28.16,5.28,11.25,14.7,6.63,9.46,13.52,22.85,6.23,12.94
2013,3,49.52,0,1.93,1.7,43.08,35.98,6.34,13.19,29.48,24.47,23.64,38.93,7.6,20.34,44.54
2013,4,30.03,0.03,0,0,5.2,1.58,8.65,9.41,41.97,21.15,19.27,19.73,0.08,24.32,59.58
2013,5,1.67,10.62,0,0.05,16.14,12.15,9.22,3.35,3.44,5.67,8.16,23.49,0.88,9.62,9.41
2013,6,11.08,0,0,0,0,0,1.54,0.28,27.54,10.15,3.06,3.95,0,5.09,57.78
2013,7,0,11.94,29.31,10.37,10.42,0.86,7.76,0,0.25,0,8.09,0.66,24.43,0,1.79
2013,8,0,5.72,41.31,26.37,11.77,0.13,2.67,0.66,4.53,0,17.1,0.05,30.01,0,0.94
2013,9,11.72,1.97,19.14,4.61,31.75,0,7.68,0,30.25,14.76,12.71,6.27,24.3,17.3,16.01
2013,10,0.48,6.11,0,0.19,42.8,18.89,13.06,0.86,0,0,21.1,19.11,6.97,0,0.25
2013,11,24.27,4.11,4.23,3.18,23.39,8.28,7.7,13.1,36.99,21.56,8.05,25.45,6.54,24.89,40.71
2013,12,10.52,4.38,0,0,21.99,18.62,14.22,3.8,17.2,15.04,26.36,23.02,8.53,12.92,13.23
2014,1,3.17,6.87,0,0,4.14,2.67,22.82,16.35,2.36,2.38,28.82,38.07,0.36,4.46,5.15
2014,2,254.78,15.56,1.28,1.63,20.64,20.27,34.78,34.05,329.73,201.37,65.38,77.33,12.34,166.07,328.46
2014,3,114.77,17.59,6.23,13.1,85.11,46.45,31.37,47.06,100.09,56.41,56.61,81.61,28.14,49.14,112.27
2014,4,62.63,1.54,3.69,2.24,30.49,16.72,5.61,20.58,95.19,58.73,11.18,63.99,14.12,53.78,66.59
2014,5,0.4,9.67,1.34,0.83,10.55,0,13.82,0.16,5.17,0.13,20.44,8.38,1.79,0,2.61
2014,6,0,0,0,0,0,0,2.02,0,0,0,1.17,0.23,0,0,0
2014,7,0,6.15,0,4.95,12.88,2.93,14.67,0,2.62,0,29.83,5.3,4.8,0,2.71
2014,8,0,10.55,3.27,16.6,42.71,3.7,5.03,0,0,0,33.44,0,16.68,0.4,2.5
2014,9,12.24,4.3,2.88,11.93,21.12,4.85,9.54,0,22.41,12.04,3.86,29.22,9.76,12.78,15.35
2014,10,25.38,0,0,0,0,0,0,0.73,25.77,12.03,0,0.91,0,7.75,14.97
2014,11,87.57,0,0.61,1.28,25.01,21.47,8.94,25,102.8,46.18,19.53,56.2,5.18,37.96,106.08
2014,12,389.68,15.36,14.26,11.89,116.25,96.88,28.1,91.25,563.18,293.03,57.45,125.17,105.41,224.51,340.77
2015,1,2.76,2.97,16.92,13.36,14.55,22.41,3.12,1.13,0.59,0,3.72,5.21,17.74,0,4.03
2015,2,135.12,3.12,0,3.97,36.91,12.3,29.08,28.73,101.93,91.77,69.21,64.08,26.92,59.54,89.4
2015,3,6.2,1.63,12.54,17.56,23.64,29.43,6.88,2.19,9.47,1.61,10.02,10.64,21.03,6.68,5.7
2015,4,44,0.65,0,0.85,28.39,6.18,22.17,23.95,59.33,36.31,30.45,65.45,6.18,29.54,42.13
2015,5,22.38,34.99,4.82,3.31,66.64,49.08,49.88,1.61,1.25,0.21,49.11,20.12,9.63,0.1,1.92
2015,6,0.69,6.18,0,0,1.93,0,8.29,0,6.22,1.15,12.91,0.39,0,2.83,4.52
2015,7,1.52,11.13,9.08,22.51,65.4,41.61,26.42,0,2.5,0.5,44.93,9.28,39.69,0.03,2.56
2015,8,2.74,2.43,0,0.11,0,0.37,6.59,0,3.33,0,4.21,0,0.32,0,2.4
2015,9,12.71,1.88,12.47,4.86,33.83,26.56,8.25,0,22.4,6.32,13.06,3.09,30.74,0.39,14.14
2015,10,3.71,28.59,10.66,20.63,33.88,16.69,34.12,7.15,0.78,2.13,36.62,20.73,16.47,2.35,1.85
2015,11,45.86,0.26,0.49,0.78,25.57,30.01,45.29,66.29,42.36,40.14,83.31,122.75,5.16,41.03,40.46
2015,12,187.63,7.13,0,1.06,82.41,43.18,99.88,70.9,210.64,87.09,156.64,199.45,42.37,60.85,205.38
2016,1,269.72,19,35.42,44.91,91.81,122.76,65.44,116.08,325.89,179.06,118.92,211.96,96.97,165.34,248.01
2016,2,33.7,16.95,3.53,2.35,29.8,17.49,18.92,18.95,38.57,22.39,41.95,32.36,31.51,16.22,28.12
2016,3,300.8,1.28,2.74,0.79,46.41,31.79,42.66,97.36,236.09,227.03,98.41,199.4,8.12,146.46,250.58
2016,4,33.67,20.63,4.69,3.99,36.99,29.58,25.8,62.84,38.98,29.96,35.52,74.92,12.91,18.57,31.59
2016,5,14.54,14.35,0.09,0.53,28.94,15.89,20.48,4.46,5.78,9.58,20.42,16.43,2.52,6.23,4.2
2016,6,2.04,21.41,0,0,0,0,27.46,0,3.26,0,32.73,3.01,0,0,7.45
2016,7,0,0.65,0.16,0,2.84,0,0.24,0,1.13,0,0,0,0.35,0,1.01
2016,8,0,5.51,0,0,0.04,0,2.54,0,0.54,0,1.2,0,0,0,4.55
2016,9,0,0,11.64,13.19,31.08,13.62,2.63,0,0.36,0,2.32,0.95,46.32,0,1.03
2016,10,159.96,14.16,1.12,5.99,18.51,5.59,124.97,40.79,173.66,81.77,169.08,96.86,6.28,73.53,145.9
2016,11,103.88,0.26,2.78,2.29,62.17,33.55,23.65,28.25,115.15,45.6,46.73,69.16,13.55,40.57,104.04
2016,12,189.13,9.4,31.5,38.29,142.34,98.75,69.8,61.61,225.37,113.14,139.35,182.49,105.19,94.49,141.87
