"Climate profile","Temp_continuous","Proportion_continuous"
"Cold stable",-5,0
"Cold stable",-4.9,0
"Cold stable",-4.8,0
"Cold stable",-4.7,0
"Cold stable",-4.6,0
"Cold stable",-4.5,0
"Cold stable",-4.4,0
"Cold stable",-4.3,0
"Cold stable",-4.2,0
"Cold stable",-4.1,0
"Cold stable",-4,0
"Cold stable",-3.9,0
"Cold stable",-3.8,0
"Cold stable",-3.7,0
"Cold stable",-3.6,0
"Cold stable",-3.5,0
"Cold stable",-3.4,0
"Cold stable",-3.3,0
"Cold stable",-3.2,0
"Cold stable",-3.1,0
"Cold stable",-3,0
"Cold stable",-2.9,0
"Cold stable",-2.8,0
"Cold stable",-2.7,0
"Cold stable",-2.6,0
"Cold stable",-2.5,0
"Cold stable",-2.4,0
"Cold stable",-2.3,0
"Cold stable",-2.2,0
"Cold stable",-2.1,0
"Cold stable",-2,0
"Cold stable",-1.9,0
"Cold stable",-1.8,0.000598142598034872
"Cold stable",-1.7,0.00156651497167078
"Cold stable",-1.6,0.00257189381171479
"Cold stable",-1.5,0.0036134710923662
"Cold stable",-1.4,0.00469043878782429
"Cold stable",-1.3,0.00580198887228837
"Cold stable",-1.2,0.00694731331995771
"Cold stable",-1.1,0.00812560410503163
"Cold stable",-1,0.00933605320170938
"Cold stable",-0.899999999999999,0.0105778525841903
"Cold stable",-0.8,0.0118501942266737
"Cold stable",-0.7,0.0131522701033587
"Cold stable",-0.6,0.0144832721884449
"Cold stable",-0.5,0.0158423924561313
"Cold stable",-0.399999999999999,0.0172288228806173
"Cold stable",-0.3,0.0186417554361023
"Cold stable",-0.199999999999999,0.0200803820967854
"Cold stable",-0.0999999999999996,0.021543894836866
"Cold stable",0,0.0230314856305434
"Cold stable",0.100000000000001,0.0245423464520169
"Cold stable",0.2,0.0260756692754857
"Cold stable",0.300000000000001,0.0276306460751492
"Cold stable",0.4,0.0292064688252066
"Cold stable",0.5,0.0308023294998573
"Cold stable",0.600000000000001,0.0324174200733005
"Cold stable",0.7,0.0340509325197355
"Cold stable",0.800000000000001,0.0357020588133616
"Cold stable",0.9,0.0373699909283781
"Cold stable",1,0.0390539208389844
"Cold stable",1.1,0.0407530405193796
"Cold stable",1.2,0.0424665419437631
"Cold stable",1.3,0.0441936170863342
"Cold stable",1.4,0.0459334579212922
"Cold stable",1.5,0.0476852564228363
"Cold stable",1.6,0.0494482045651658
"Cold stable",1.7,0.0512214943224801
"Cold stable",1.8,0.0530043176689785
"Cold stable",1.9,0.0547958665788602
"Cold stable",2,0.0565953330263245
"Cold stable",2.1,0.0584019089855707
"Cold stable",2.2,0.0602147864307981
"Cold stable",2.3,0.062033157336206
"Cold stable",2.4,0.0638562136759937
"Cold stable",2.5,0.0656831474243604
"Cold stable",2.6,0.0675503381789475
"Cold stable",2.7,0.0694930486088463
"Cold stable",2.8,0.0715087952954319
"Cold stable",2.9,0.0735950948200791
"Cold stable",3,0.0757494637641627
"Cold stable",3.1,0.0779694187090578
"Cold stable",3.2,0.0802524762361392
"Cold stable",3.3,0.0825961529267816
"Cold stable",3.4,0.0849979653623602
"Cold stable",3.5,0.0874554301242497
"Cold stable",3.6,0.0899660637938251
"Cold stable",3.7,0.0925273829524612
"Cold stable",3.8,0.0951369041815329
"Cold stable",3.9,0.0977921440624151
"Cold stable",4,0.100490619176483
"Cold stable",4.1,0.103229846105111
"Cold stable",4.2,0.106007341429674
"Cold stable",4.3,0.108820621731547
"Cold stable",4.4,0.111667203592105
"Cold stable",4.5,0.114544603592723
"Cold stable",4.6,0.117450338314776
"Cold stable",4.7,0.120381924339638
"Cold stable",4.8,0.123336878248685
"Cold stable",4.9,0.126312716623292
"Cold stable",5,0.129306956044832
"Cold stable",5.1,0.132317113094682
"Cold stable",5.2,0.135340704354216
"Cold stable",5.3,0.138375246404809
"Cold stable",5.4,0.141418255827836
"Cold stable",5.5,0.144467249204671
"Cold stable",5.6,0.147519743116691
"Cold stable",5.7,0.150573254145268
"Cold stable",5.8,0.15362529887178
"Cold stable",5.9,0.156673393877599
"Cold stable",6,0.159715055744102
"Cold stable",6.1,0.162747801052663
"Cold stable",6.2,0.165769146384657
"Cold stable",6.3,0.168776608321458
"Cold stable",6.4,0.171767703444443
"Cold stable",6.5,0.174739948334985
"Cold stable",6.6,0.17769085957446
"Cold stable",6.7,0.180617953744242
"Cold stable",6.8,0.183518747425707
"Cold stable",6.9,0.186390757200228
"Cold stable",7,0.189231499649182
"Cold stable",7.1,0.192038491353943
"Cold stable",7.2,0.194809248895886
"Cold stable",7.3,0.197541288856386
"Cold stable",7.4,0.200232127816817
"Cold stable",7.5,0.202879282358555
"Cold stable",7.6,0.205611253893992
"Cold stable",7.7,0.208551351455349
"Cold stable",7.8,0.211689303053742
"Cold stable",7.9,0.215014836700288
"Cold stable",8,0.218517680406104
"Cold stable",8.1,0.222187562182308
"Cold stable",8.2,0.226014210040014
"Cold stable",8.3,0.229987351990341
"Cold stable",8.4,0.234096716044406
"Cold stable",8.5,0.238332030213324
"Cold stable",8.6,0.242683022508213
"Cold stable",8.7,0.24713942094019
"Cold stable",8.8,0.251690953520371
"Cold stable",8.9,0.256327348259873
"Cold stable",9,0.261038333169814
"Cold stable",9.1,0.265813636261309
"Cold stable",9.2,0.270642985545475
"Cold stable",9.3,0.27551610903343
"Cold stable",9.4,0.28042273473629
"Cold stable",9.5,0.285352590665172
"Cold stable",9.6,0.290295404831193
"Cold stable",9.7,0.29524090524547
"Cold stable",9.8,0.300178819919119
"Cold stable",9.9,0.305098876863256
"Cold stable",10,0.309990804089
"Cold stable",10.1,0.314844329607467
"Cold stable",10.2,0.319649181429773
"Cold stable",10.3,0.324395087567036
"Cold stable",10.4,0.329071776030371
"Cold stable",10.5,0.333668974830897
"Cold stable",10.6,0.338176411979729
"Cold stable",10.7,0.342583815487985
"Cold stable",10.8,0.346880913366781
"Cold stable",10.9,0.351057433627234
"Cold stable",11,0.355103104280461
"Cold stable",11.1,0.359007653337579
"Cold stable",11.2,0.362760808809704
"Cold stable",11.3,0.366352298707954
"Cold stable",11.4,0.369771851043445
"Cold stable",11.5,0.373009193827293
"Cold stable",11.6,0.376054055070616
"Cold stable",11.7,0.378896162784531
"Cold stable",11.8,0.381525244980154
"Cold stable",11.9,0.383931029668602
"Cold stable",12,0.386103244860992
"Cold stable",12.1,0.388031618568441
"Cold stable",12.2,0.389705878802065
"Cold stable",12.3,0.391115753572982
"Cold stable",12.4,0.392250970892307
"Cold stable",12.5,0.393101258771158
"Cold stable",12.6,0.393724938799753
"Cold stable",12.7,0.394190015874195
"Cold stable",12.8,0.394500742964433
"Cold stable",12.9,0.394661373040414
"Cold stable",13,0.394676159072085
"Cold stable",13.1,0.394549354029395
"Cold stable",13.2,0.39428521088229
"Cold stable",13.3,0.393887982600718
"Cold stable",13.4,0.393361922154627
"Cold stable",13.5,0.392711282513965
"Cold stable",13.6,0.391940316648678
"Cold stable",13.7,0.391053277528715
"Cold stable",13.8,0.390054418124023
"Cold stable",13.9,0.388947991404549
"Cold stable",14,0.387738250340242
"Cold stable",14.1,0.386429447901048
"Cold stable",14.2,0.385025837056916
"Cold stable",14.3,0.383531670777792
"Cold stable",14.4,0.381951202033625
"Cold stable",14.5,0.380288683794362
"Cold stable",14.6,0.37854836902995
"Cold stable",14.7,0.376734510710337
"Cold stable",14.8,0.374851361805471
"Cold stable",14.9,0.3729031752853
"Cold stable",15,0.37089420411977
"Cold stable",15.1,0.368828701278829
"Cold stable",15.2,0.366710919732425
"Cold stable",15.3,0.364545112450506
"Cold stable",15.4,0.362335532403019
"Cold stable",15.5,0.360086432559911
"Cold stable",15.6,0.357802065891131
"Cold stable",15.7,0.355486685366625
"Cold stable",15.8,0.353144543956341
"Cold stable",15.9,0.350779894630228
"Cold stable",16,0.348396990358231
"Cold stable",16.1,0.3460000841103
"Cold stable",16.2,0.343593428856381
"Cold stable",16.3,0.341181277566422
"Cold stable",16.4,0.338767883210371
"Cold stable",16.5,0.336357498758175
"Cold stable",16.6,0.333954377179782
"Cold stable",16.7,0.331562771445139
"Cold stable",16.8,0.329186934524194
"Cold stable",16.9,0.326831119386894
"Cold stable",17,0.324499579003188
"Cold stable",17.1,0.322196566343022
"Cold stable",17.2,0.319926334376344
"Cold stable",17.3,0.317693136073102
"Cold stable",17.4,0.315501224403243
"Cold stable",17.5,0.313354852336715
"Cold stable",17.6,0.31110621770504
"Cold stable",17.7,0.308611233563119
"Cold stable",17.8,0.305879725715969
"Cold stable",17.9,0.302921519968606
"Cold stable",18,0.299746442126046
"Cold stable",18.1,0.296364317993306
"Cold stable",18.2,0.292784973375403
"Cold stable",18.3,0.289018234077352
"Cold stable",18.4,0.285073925904169
"Cold stable",18.5,0.280961874660873
"Cold stable",18.6,0.276691906152477
"Cold stable",18.7,0.272273846184
"Cold stable",18.8,0.267717520560457
"Cold stable",18.9,0.263032755086864
"Cold stable",19,0.258229375568239
"Cold stable",19.1,0.253317207809597
"Cold stable",19.2,0.248306077615955
"Cold stable",19.3,0.243205810792329
"Cold stable",19.4,0.238026233143736
"Cold stable",19.5,0.232777170475191
"Cold stable",19.6,0.227468448591712
"Cold stable",19.7,0.222109893298314
"Cold stable",19.8,0.216711330400014
"Cold stable",19.9,0.211282585701829
"Cold stable",20,0.205833485008774
"Cold stable",20.1,0.200373854125867
"Cold stable",20.2,0.194913518858122
"Cold stable",20.3,0.189462305010558
"Cold stable",20.4,0.18403003838819
"Cold stable",20.5,0.178626544796034
"Cold stable",20.6,0.173261650039107
"Cold stable",20.7,0.167945179922426
"Cold stable",20.8,0.162686960251006
"Cold stable",20.9,0.157496816829864
"Cold stable",21,0.152384575464016
"Cold stable",21.1,0.147360061958479
"Cold stable",21.2,0.142433102118269
"Cold stable",21.3,0.137613521748403
"Cold stable",21.4,0.132911146653896
"Cold stable",21.5,0.128335802639766
"Cold stable",21.6,0.123897315511028
"Cold stable",21.7,0.119605511072698
"Cold stable",21.8,0.115470215129795
"Cold stable",21.9,0.111501253487332
"Cold stable",22,0.107708451950328
"Cold stable",22.1,0.104101636323798
"Cold stable",22.2,0.100690632412759
"Cold stable",22.3,0.0974852660222264
"Cold stable",22.4,0.0944953629572176
"Cold stable",22.5,0.0917307490227487
"Cold stable",22.6,0.0890842305419443
"Cold stable",22.7,0.0864427382952004
"Cold stable",22.8,0.0838072847734398
"Cold stable",22.9,0.0811788824675851
"Cold stable",23,0.0785585438685593
"Cold stable",23.1,0.0759472814672849
"Cold stable",23.2,0.0733461077546848
