"Climate profile","Temp_continuous","Proportion_continuous"
"Cold stable",-5,-2.77555756156289e-17
"Cold stable",-4.9,0.00180270564516126
"Cold stable",-4.8,0.00374099999999998
"Cold stable",-4.7,0.00581176209677416
"Cold stable",-4.6,0.00801187096774192
"Cold stable",-4.5,0.0103382056451613
"Cold stable",-4.4,0.0127876451612903
"Cold stable",-4.3,0.0153570685483871
"Cold stable",-4.2,0.0180433548387096
"Cold stable",-4.1,0.0208433830645161
"Cold stable",-4,0.0237540322580645
"Cold stable",-3.9,0.0267721814516129
"Cold stable",-3.8,0.0298947096774193
"Cold stable",-3.7,0.0331184959677419
"Cold stable",-3.6,0.0364404193548387
"Cold stable",-3.5,0.0398573588709677
"Cold stable",-3.4,0.0433661935483871
"Cold stable",-3.3,0.0469638024193548
"Cold stable",-3.2,0.050647064516129
"Cold stable",-3.1,0.0544128588709677
"Cold stable",-3,0.058258064516129
"Cold stable",-2.9,0.062179560483871
"Cold stable",-2.8,0.0661742258064516
"Cold stable",-2.7,0.070238939516129
"Cold stable",-2.6,0.0743705806451613
"Cold stable",-2.5,0.0785660282258064
"Cold stable",-2.4,0.0828221612903226
"Cold stable",-2.3,0.0871358588709677
"Cold stable",-2.2,0.091504
"Cold stable",-2.1,0.0959234637096774
"Cold stable",-2,0.100391129032258
"Cold stable",-1.9,0.104903875
"Cold stable",-1.8,0.109458580645161
"Cold stable",-1.7,0.114052125
"Cold stable",-1.6,0.118681387096774
"Cold stable",-1.5,0.123343245967742
"Cold stable",-1.4,0.128034580645161
"Cold stable",-1.3,0.13275227016129
"Cold stable",-1.2,0.137493193548387
"Cold stable",-1.1,0.14225422983871
"Cold stable",-1,0.147032258064516
"Cold stable",-0.899999999999999,0.151824157258065
"Cold stable",-0.8,0.156626806451613
"Cold stable",-0.7,0.161437084677419
"Cold stable",-0.6,0.166251870967742
"Cold stable",-0.5,0.171068044354839
"Cold stable",-0.399999999999999,0.175882483870968
"Cold stable",-0.3,0.180692068548387
"Cold stable",-0.199999999999999,0.185493677419355
"Cold stable",-0.0999999999999996,0.190284189516129
"Cold stable",0,0.195060483870968
"Cold stable",0.100000000000001,0.199819439516129
"Cold stable",0.2,0.204557935483871
"Cold stable",0.300000000000001,0.209272850806452
"Cold stable",0.4,0.213961064516129
"Cold stable",0.5,0.218619455645161
"Cold stable",0.600000000000001,0.223244903225806
"Cold stable",0.7,0.227834286290323
"Cold stable",0.800000000000001,0.232384483870968
"Cold stable",0.9,0.236892375
"Cold stable",1,0.241354838709677
"Cold stable",1.1,0.245768754032258
"Cold stable",1.2,0.250131
"Cold stable",1.3,0.254438455645161
"Cold stable",1.4,0.258688
"Cold stable",1.5,0.262876512096774
"Cold stable",1.6,0.267000870967742
"Cold stable",1.7,0.271057955645161
"Cold stable",1.8,0.27504464516129
"Cold stable",1.9,0.278957818548387
"Cold stable",2,0.28279435483871
"Cold stable",2.1,0.286551133064516
"Cold stable",2.2,0.290225032258065
"Cold stable",2.3,0.293812931451613
"Cold stable",2.4,0.297311709677419
"Cold stable",2.5,0.300718245967742
"Cold stable",2.6,0.304029419354839
"Cold stable",2.7,0.307242108870968
"Cold stable",2.8,0.310353193548387
"Cold stable",2.9,0.313359552419355
"Cold stable",3,0.316258064516129
"Cold stable",3.1,0.319045608870968
"Cold stable",3.2,0.321719064516129
"Cold stable",3.3,0.324275310483871
"Cold stable",3.4,0.326711225806452
"Cold stable",3.5,0.329023689516129
"Cold stable",3.6,0.331209580645161
"Cold stable",3.7,0.333265778225807
"Cold stable",3.8,0.335189161290323
"Cold stable",3.9,0.336976608870968
"Cold stable",4,0.338625
"Cold stable",4.1,0.340131213709677
"Cold stable",4.2,0.341492129032258
"Cold stable",4.3,0.342704625
"Cold stable",4.4,0.343765580645161
"Cold stable",4.5,0.344671875
"Cold stable",4.6,0.345420387096774
"Cold stable",4.7,0.346007995967742
"Cold stable",4.8,0.346431580645161
"Cold stable",4.9,0.34668802016129
"Cold stable",5,0.346774193548387
"Cold stable",5.1,0.346860709677419
"Cold stable",5.2,0.347117935483871
"Cold stable",5.3,0.347542387096774
"Cold stable",5.4,0.348130580645161
"Cold stable",5.5,0.348879032258065
"Cold stable",5.6,0.349784258064516
"Cold stable",5.7,0.350842774193548
"Cold stable",5.8,0.352051096774194
"Cold stable",5.9,0.353405741935484
"Cold stable",6,0.354903225806452
"Cold stable",6.1,0.356540064516129
"Cold stable",6.2,0.358312774193548
"Cold stable",6.3,0.360217870967742
"Cold stable",6.4,0.362251870967742
"Cold stable",6.5,0.364411290322581
"Cold stable",6.6,0.36669264516129
"Cold stable",6.7,0.369092451612903
"Cold stable",6.8,0.371607225806452
"Cold stable",6.9,0.374233483870968
"Cold stable",7,0.376967741935484
"Cold stable",7.1,0.379806516129032
"Cold stable",7.2,0.382746322580645
"Cold stable",7.3,0.385783677419355
"Cold stable",7.4,0.388915096774194
"Cold stable",7.5,0.392137096774194
"Cold stable",7.6,0.395446193548387
"Cold stable",7.7,0.398838903225807
"Cold stable",7.8,0.402311741935484
"Cold stable",7.9,0.405861225806452
"Cold stable",8,0.409483870967742
"Cold stable",8.1,0.413176193548387
"Cold stable",8.2,0.416934709677419
"Cold stable",8.3,0.420755935483871
"Cold stable",8.4,0.424636387096774
"Cold stable",8.5,0.428572580645161
"Cold stable",8.6,0.432561032258065
"Cold stable",8.7,0.436598258064516
"Cold stable",8.8,0.440680774193548
"Cold stable",8.9,0.444805096774194
"Cold stable",9,0.448967741935484
"Cold stable",9.1,0.453165225806452
"Cold stable",9.2,0.457394064516129
"Cold stable",9.3,0.461650774193548
"Cold stable",9.4,0.465931870967742
"Cold stable",9.5,0.470233870967742
"Cold stable",9.6,0.474553290322581
"Cold stable",9.7,0.47888664516129
"Cold stable",9.8,0.483230451612903
"Cold stable",9.9,0.487581225806452
"Cold stable",10,0.491935483870968
"Cold stable",10.1,0.496289741935484
"Cold stable",10.2,0.500640516129032
"Cold stable",10.3,0.504984322580645
"Cold stable",10.4,0.509317677419355
"Cold stable",10.5,0.513637096774194
"Cold stable",10.6,0.517939096774194
"Cold stable",10.7,0.522220193548387
"Cold stable",10.8,0.526476903225807
"Cold stable",10.9,0.530705741935484
"Cold stable",11,0.534903225806452
"Cold stable",11.1,0.539065870967742
"Cold stable",11.2,0.543190193548387
