"Site","Annual_precipitation","Precipitation_seasonality","MAPmax","MAPmin","Site_initials"
"Anza Borrego HQ",85.4,5.07952811575917,77.43,0,"AB"
"Bodega",781.287,58.4086616632795,472.48,0,"B"
"Boyd Deep Canyon",105.817,6.72735180179775,94.44,0,"DC"
"Elliot Chaparral",306.113,23.2001678538533,191.05,0,"EC"
"James San Jacinto",429.868,27.5855856441971,321.57,0,"SJ"
"Jepson Prairie",454.142,36.9647685821693,282.51,0,"J"
"McLaughlin",825.463,68.1051389323333,529.12,0,"M"
"Merced",284.939,23.8506029672525,154.83,0,"ME"
"Pinyon crest",268.615,22.6229743139713,285.23,0,"PF"
"Point Reyes",931.663,75.8670592603312,563.18,0,"P"
"Quail Ridge",602.291,50.440046920637,435.86,0,"QR"
"SNARL",358.009,22.8527872875631,282.69,0,"S"
"Valentine",588.816,38.0306494004268,446.73,0,"V"
"White Mountain",131.682,7.70720433337301,148.04,0,"W"
"Yosemite Mariposa Grove",718.176,56.9371777711668,529.24,0,"Y"
