"Site_initials","Climate profile","Temp_continuous","Proportion_continuous"
"AB","Hot variable",-5,0.00892633450635848
"AB","Hot variable",-4.9,0.0080671684219709
"AB","Hot variable",-4.8,0.00722337309949687
"AB","Hot variable",-4.7,0.00639485613682319
"AB","Hot variable",-4.6,0.00558152513183663
"AB","Hot variable",-4.5,0.00478328768242397
"AB","Hot variable",-4.4,0.004000051386472
"AB","Hot variable",-4.3,0.00323172384186747
"AB","Hot variable",-4.2,0.00247821264649719
"AB","Hot variable",-4.1,0.00173942539824793
"AB","Hot variable",-4,0.00101526969500647
"AB","Hot variable",-3.9,0.000305653134659579
"AB","Hot variable",-3.8,0
"AB","Hot variable",-3.7,0
"AB","Hot variable",-3.6,0
"AB","Hot variable",-3.5,0
"AB","Hot variable",-3.4,0
"AB","Hot variable",-3.3,0
"AB","Hot variable",-3.2,0
"AB","Hot variable",-3.1,0
"AB","Hot variable",-3,0
"AB","Hot variable",-2.9,0
"AB","Hot variable",-2.8,0
"AB","Hot variable",-2.7,0
"AB","Hot variable",-2.6,0
"AB","Hot variable",-2.5,0
"AB","Hot variable",-2.4,0
"AB","Hot variable",-2.3,0
"AB","Hot variable",-2.2,0
"AB","Hot variable",-2.1,0
"AB","Hot variable",-2,0
"AB","Hot variable",-1.9,0
"AB","Hot variable",-1.8,0
"AB","Hot variable",-1.7,0
"AB","Hot variable",-1.6,0
"AB","Hot variable",-1.5,0
"AB","Hot variable",-1.4,0
"AB","Hot variable",-1.3,0
"AB","Hot variable",-1.2,0
"AB","Hot variable",-1.1,0
"AB","Hot variable",-1,0
"AB","Hot variable",-0.899999999999999,0
"AB","Hot variable",-0.8,0
"AB","Hot variable",-0.7,0
"AB","Hot variable",-0.6,0
"AB","Hot variable",-0.5,0
"AB","Hot variable",-0.399999999999999,0
"AB","Hot variable",-0.3,0
"AB","Hot variable",-0.199999999999999,0
"AB","Hot variable",-0.0999999999999996,0
"AB","Hot variable",0,0
"AB","Hot variable",0.100000000000001,0
"AB","Hot variable",0.2,0
"AB","Hot variable",0.300000000000001,0
"AB","Hot variable",0.4,0
"AB","Hot variable",0.5,0
"AB","Hot variable",0.600000000000001,0
"AB","Hot variable",0.7,0
"AB","Hot variable",0.800000000000001,0
"AB","Hot variable",0.9,0
"AB","Hot variable",1,0
"AB","Hot variable",1.1,0
"AB","Hot variable",1.2,0
"AB","Hot variable",1.3,0
"AB","Hot variable",1.4,0
"AB","Hot variable",1.5,0
"AB","Hot variable",1.6,0
"AB","Hot variable",1.7,0
"AB","Hot variable",1.8,0
"AB","Hot variable",1.9,0
"AB","Hot variable",2,0
"AB","Hot variable",2.1,0
"AB","Hot variable",2.2,0
"AB","Hot variable",2.3,0
"AB","Hot variable",2.4,0
"AB","Hot variable",2.5,0
"AB","Hot variable",2.6,0
"AB","Hot variable",2.7,0
"AB","Hot variable",2.8,0
"AB","Hot variable",2.9,0
"AB","Hot variable",3,0
"AB","Hot variable",3.1,0
"AB","Hot variable",3.2,0
"AB","Hot variable",3.3,0
"AB","Hot variable",3.4,0
"AB","Hot variable",3.5,0
"AB","Hot variable",3.6,0
"AB","Hot variable",3.7,0
"AB","Hot variable",3.8,0
"AB","Hot variable",3.9,0
"AB","Hot variable",4,0
"AB","Hot variable",4.1,0
"AB","Hot variable",4.2,0
"AB","Hot variable",4.3,0
"AB","Hot variable",4.4,0
"AB","Hot variable",4.5,0
"AB","Hot variable",4.6,0
"AB","Hot variable",4.7,0
"AB","Hot variable",4.8,0
"AB","Hot variable",4.9,0
"AB","Hot variable",5,0
"AB","Hot variable",5.1,0
"AB","Hot variable",5.2,0
"AB","Hot variable",5.3,0
"AB","Hot variable",5.4,0
"AB","Hot variable",5.5,0
"AB","Hot variable",5.6,0
"AB","Hot variable",5.7,0
"AB","Hot variable",5.8,0
"AB","Hot variable",5.9,0
"AB","Hot variable",6,0
"AB","Hot variable",6.1,0
"AB","Hot variable",6.2,0.000524597563844122
"AB","Hot variable",6.3,0.00128642757600817
"AB","Hot variable",6.4,0.00207147920546833
"AB","Hot variable",6.5,0.002880260773269
"AB","Hot variable",6.6,0.00371328060045459
"AB","Hot variable",6.7,0.00457104700806949
"AB","Hot variable",6.8,0.00545406831715809
"AB","Hot variable",6.9,0.00636285284876482
"AB","Hot variable",7,0.00729790892393406
"AB","Hot variable",7.1,0.00825974486371023
"AB","Hot variable",7.2,0.00924886898913771
"AB","Hot variable",7.3,0.0102657896212609
"AB","Hot variable",7.4,0.0113110150811243
"AB","Hot variable",7.5,0.0123850536897721
"AB","Hot variable",7.6,0.0135112918526288
"AB","Hot variable",7.7,0.0147109620599662
"AB","Hot variable",7.8,0.0159813417601005
"AB","Hot variable",7.9,0.0173197084013477
"AB","Hot variable",8,0.0187233394320237
"AB","Hot variable",8.1,0.0201895123004446
"AB","Hot variable",8.2,0.0217155044549265
"AB","Hot variable",8.3,0.0232985933437853
"AB","Hot variable",8.4,0.024936056415337
"AB","Hot variable",8.5,0.0266251711178978
"AB","Hot variable",8.6,0.0283632148997836
"AB","Hot variable",8.7,0.0301474652093104
"AB","Hot variable",8.8,0.0319751994947943
"AB","Hot variable",8.9,0.0338436952045513
"AB","Hot variable",9,0.0357502297868974
"AB","Hot variable",9.1,0.0376920806901486
"AB","Hot variable",9.2,0.039666525362621
"AB","Hot variable",9.3,0.0416708412526306
"AB","Hot variable",9.4,0.0437023058084933
"AB","Hot variable",9.5,0.0457581964785253
"AB","Hot variable",9.6,0.0478357907110426
"AB","Hot variable",9.7,0.0499323659543611
"AB","Hot variable",9.8,0.0520451996567969
"AB","Hot variable",9.9,0.0541715692666661
"AB","Hot variable",10,0.0563087522322845
"AB","Hot variable",10.1,0.0584540260019684
"AB","Hot variable",10.2,0.0606046680240337
"AB","Hot variable",10.3,0.0627579557467963
"AB","Hot variable",10.4,0.0649111666185724
"AB","Hot variable",10.5,0.067061578087678
"AB","Hot variable",10.6,0.0692064676024291
"AB","Hot variable",10.7,0.0713431126111417
"AB","Hot variable",10.8,0.0734687905621317
"AB","Hot variable",10.9,0.0755807789037154
"AB","Hot variable",11,0.0776763550842086
"AB","Hot variable",11.1,0.0797527965519274
"AB","Hot variable",11.2,0.0818073807551879
"AB","Hot variable",11.3,0.083837385142306
"AB","Hot variable",11.4,0.0858400871615978
"AB","Hot variable",11.5,0.0878127642613793
"AB","Hot variable",11.6,0.0897526938899665
"AB","Hot variable",11.7,0.0916571534956754
"AB","Hot variable",11.8,0.0935234205268221
"AB","Hot variable",11.9,0.0953487724317226
"AB","Hot variable",12,0.0971304866586929
"AB","Hot variable",12.1,0.0988658406560491
"AB","Hot variable",12.2,0.100552111872107
"AB","Hot variable",12.3,0.102186577755183
"AB","Hot variable",12.4,0.103766515753593
"AB","Hot variable",12.5,0.105289203315652
"AB","Hot variable",12.6,0.106829607425993
"AB","Hot variable",12.7,0.108461499869548
"AB","Hot variable",12.8,0.110180365295086
"AB","Hot variable",12.9,0.111981688351375
"AB","Hot variable",13,0.113860953687183
