"Year","Month","Site","Temperature","Site_initials","Climate profile"
1982,1,"Pinyon Crest",11.3311638156345,"PF","Hot variable"
1982,2,"Pinyon Crest",12.9237040770609,"PF","Hot variable"
1982,3,"Pinyon Crest",13.0669752158684,"PF","Hot variable"
1982,4,"Pinyon Crest",20.2923947500942,"PF","Hot variable"
1982,5,"Pinyon Crest",25.2172069248373,"PF","Hot variable"
1982,6,"Pinyon Crest",28.9032678872054,"PF","Hot variable"
1982,7,"Pinyon Crest",32.8175242690737,"PF","Hot variable"
1982,8,"Pinyon Crest",32.2326530203862,"PF","Hot variable"
1982,9,"Pinyon Crest",24.5000126557819,"PF","Hot variable"
1982,10,"Pinyon Crest",18.0159127569832,"PF","Hot variable"
1982,11,"Pinyon Crest",7.92443797218867,"PF","Hot variable"
1982,12,"Pinyon Crest",5.1010625471705,"PF","Hot variable"
1983,1,"Pinyon Crest",7.98116381563448,"PF","Hot variable"
1983,2,"Pinyon Crest",12.9237040770609,"PF","Hot variable"
1983,3,"Pinyon Crest",14.5669752158684,"PF","Hot variable"
1983,4,"Pinyon Crest",18.2923947500942,"PF","Hot variable"
1983,5,"Pinyon Crest",28.5172069248373,"PF","Hot variable"
1983,6,"Pinyon Crest",32.1532678872054,"PF","Hot variable"
1983,7,"Pinyon Crest",36.1175242690737,"PF","Hot variable"
1983,8,"Pinyon Crest",30.6826530203862,"PF","Hot variable"
1983,9,"Pinyon Crest",29.0000126557819,"PF","Hot variable"
1983,10,"Pinyon Crest",21.5159127569832,"PF","Hot variable"
1983,11,"Pinyon Crest",14.4244379721887,"PF","Hot variable"
1983,12,"Pinyon Crest",12.1010625471705,"PF","Hot variable"
1984,1,"Pinyon Crest",11.4811638156345,"PF","Hot variable"
1984,2,"Pinyon Crest",14.4237040770609,"PF","Hot variable"
1984,3,"Pinyon Crest",18.5669752158684,"PF","Hot variable"
1984,4,"Pinyon Crest",21.8923947500942,"PF","Hot variable"
1984,5,"Pinyon Crest",32.5172069248373,"PF","Hot variable"
1984,6,"Pinyon Crest",32.6532678872054,"PF","Hot variable"
1984,7,"Pinyon Crest",33.6175242690737,"PF","Hot variable"
1984,8,"Pinyon Crest",32.1826530203862,"PF","Hot variable"
1984,9,"Pinyon Crest",31.0000126557819,"PF","Hot variable"
1984,10,"Pinyon Crest",19.5159127569832,"PF","Hot variable"
1984,11,"Pinyon Crest",12.9244379721887,"PF","Hot variable"
1984,12,"Pinyon Crest",6.6010625471705,"PF","Hot variable"
1985,1,"Pinyon Crest",6.98116381563448,"PF","Hot variable"
1985,2,"Pinyon Crest",11.4237040770609,"PF","Hot variable"
1985,3,"Pinyon Crest",16.5669752158684,"PF","Hot variable"
1985,4,"Pinyon Crest",27.3923947500942,"PF","Hot variable"
1985,5,"Pinyon Crest",30.5172069248373,"PF","Hot variable"
1985,6,"Pinyon Crest",37.1532678872054,"PF","Hot variable"
1985,7,"Pinyon Crest",37.6175242690737,"PF","Hot variable"
1985,8,"Pinyon Crest",37.6826530203862,"PF","Hot variable"
1985,9,"Pinyon Crest",27.9500126557819,"PF","Hot variable"
1985,10,"Pinyon Crest",23.5159127569832,"PF","Hot variable"
1985,11,"Pinyon Crest",12.9244379721887,"PF","Hot variable"
1985,12,"Pinyon Crest",12.1010625471705,"PF","Hot variable"
1986,1,"Pinyon Crest",12.9811638156345,"PF","Hot variable"
1986,2,"Pinyon Crest",14.4237040770609,"PF","Hot variable"
1986,3,"Pinyon Crest",19.0669752158684,"PF","Hot variable"
1986,4,"Pinyon Crest",22.3923947500942,"PF","Hot variable"
1986,5,"Pinyon Crest",29.5172069248373,"PF","Hot variable"
1986,6,"Pinyon Crest",34.6532678872054,"PF","Hot variable"
1986,7,"Pinyon Crest",33.6175242690737,"PF","Hot variable"
1986,8,"Pinyon Crest",34.6826530203862,"PF","Hot variable"
1986,9,"Pinyon Crest",27.0000126557819,"PF","Hot variable"
1986,10,"Pinyon Crest",21.5159127569832,"PF","Hot variable"
1986,11,"Pinyon Crest",15.9244379721887,"PF","Hot variable"
1986,12,"Pinyon Crest",11.1010625471705,"PF","Hot variable"
1987,1,"Pinyon Crest",9.13116381563448,"PF","Hot variable"
1987,2,"Pinyon Crest",12.4737040770609,"PF","Hot variable"
1987,3,"Pinyon Crest",15.3669752158684,"PF","Hot variable"
1987,4,"Pinyon Crest",25.6423947500942,"PF","Hot variable"
1987,5,"Pinyon Crest",27.1672069248373,"PF","Hot variable"
1987,6,"Pinyon Crest",33.7032678872054,"PF","Hot variable"
1987,7,"Pinyon Crest",33.3675242690737,"PF","Hot variable"
1987,8,"Pinyon Crest",33.6326530203862,"PF","Hot variable"
1987,9,"Pinyon Crest",30.0500126557819,"PF","Hot variable"
1987,10,"Pinyon Crest",24.0659127569832,"PF","Hot variable"
1987,11,"Pinyon Crest",13.9744379721887,"PF","Hot variable"
1987,12,"Pinyon Crest",7.6010625471705,"PF","Hot variable"
1988,1,"Pinyon Crest",9.98116381563448,"PF","Hot variable"
1988,2,"Pinyon Crest",14.6237040770609,"PF","Hot variable"
1988,3,"Pinyon Crest",18.5169752158684,"PF","Hot variable"
1988,4,"Pinyon Crest",22.2923947500942,"PF","Hot variable"
1988,5,"Pinyon Crest",27.9672069248373,"PF","Hot variable"
1988,6,"Pinyon Crest",31.8032678872054,"PF","Hot variable"
1988,7,"Pinyon Crest",34.8675242690737,"PF","Hot variable"
1988,8,"Pinyon Crest",33.6826530203862,"PF","Hot variable"
1988,9,"Pinyon Crest",29.8500126557819,"PF","Hot variable"
1988,10,"Pinyon Crest",26.8659127569832,"PF","Hot variable"
1988,11,"Pinyon Crest",16.4244379721887,"PF","Hot variable"
1988,12,"Pinyon Crest",9.9010625471705,"PF","Hot variable"
1989,1,"Pinyon Crest",8.28116381563448,"PF","Hot variable"
1989,2,"Pinyon Crest",12.1737040770609,"PF","Hot variable"
1989,3,"Pinyon Crest",19.8169752158684,"PF","Hot variable"
1989,4,"Pinyon Crest",26.0423947500942,"PF","Hot variable"
1989,5,"Pinyon Crest",27.0172069248373,"PF","Hot variable"
1989,6,"Pinyon Crest",32.1032678872054,"PF","Hot variable"
1989,7,"Pinyon Crest",35.3675242690737,"PF","Hot variable"
1989,8,"Pinyon Crest",31.8826530203862,"PF","Hot variable"
