"Year","Month","Site","Temperature","Site_initials","Climate profile","start_month","end_month","growth_season_length"
1982,1,"Pinyon Crest",11.3311638156345,"PF","Hot variable",7,3,221
1982,2,"Pinyon Crest",12.9237040770609,"PF","Hot variable",7,3,221
1982,3,"Pinyon Crest",13.0669752158684,"PF","Hot variable",7,3,221
1982,7,"Pinyon Crest",32.8175242690737,"PF","Hot variable",7,3,221
1982,8,"Pinyon Crest",32.2326530203862,"PF","Hot variable",7,3,221
1982,9,"Pinyon Crest",24.5000126557819,"PF","Hot variable",7,3,221
1982,10,"Pinyon Crest",18.0159127569832,"PF","Hot variable",7,3,221
1982,11,"Pinyon Crest",7.92443797218867,"PF","Hot variable",7,3,221
1982,12,"Pinyon Crest",5.1010625471705,"PF","Hot variable",7,3,221
1983,1,"Pinyon Crest",7.98116381563448,"PF","Hot variable",7,3,221
1983,2,"Pinyon Crest",12.9237040770609,"PF","Hot variable",7,3,221
1983,3,"Pinyon Crest",14.5669752158684,"PF","Hot variable",7,3,221
1983,7,"Pinyon Crest",36.1175242690737,"PF","Hot variable",7,3,221
1983,8,"Pinyon Crest",30.6826530203862,"PF","Hot variable",7,3,221
1983,9,"Pinyon Crest",29.0000126557819,"PF","Hot variable",7,3,221
1983,10,"Pinyon Crest",21.5159127569832,"PF","Hot variable",7,3,221
1983,11,"Pinyon Crest",14.4244379721887,"PF","Hot variable",7,3,221
1983,12,"Pinyon Crest",12.1010625471705,"PF","Hot variable",7,3,221
1984,1,"Pinyon Crest",11.4811638156345,"PF","Hot variable",7,3,221
1984,2,"Pinyon Crest",14.4237040770609,"PF","Hot variable",7,3,221
1984,3,"Pinyon Crest",18.5669752158684,"PF","Hot variable",7,3,221
1984,7,"Pinyon Crest",33.6175242690737,"PF","Hot variable",7,3,221
1984,8,"Pinyon Crest",32.1826530203862,"PF","Hot variable",7,3,221
1984,9,"Pinyon Crest",31.0000126557819,"PF","Hot variable",7,3,221
1984,10,"Pinyon Crest",19.5159127569832,"PF","Hot variable",7,3,221
1984,11,"Pinyon Crest",12.9244379721887,"PF","Hot variable",7,3,221
1984,12,"Pinyon Crest",6.6010625471705,"PF","Hot variable",7,3,221
1985,1,"Pinyon Crest",6.98116381563448,"PF","Hot variable",7,3,221
1985,2,"Pinyon Crest",11.4237040770609,"PF","Hot variable",7,3,221
1985,3,"Pinyon Crest",16.5669752158684,"PF","Hot variable",7,3,221
1985,7,"Pinyon Crest",37.6175242690737,"PF","Hot variable",7,3,221
1985,8,"Pinyon Crest",37.6826530203862,"PF","Hot variable",7,3,221
1985,9,"Pinyon Crest",27.9500126557819,"PF","Hot variable",7,3,221
1985,10,"Pinyon Crest",23.5159127569832,"PF","Hot variable",7,3,221
1985,11,"Pinyon Crest",12.9244379721887,"PF","Hot variable",7,3,221
1985,12,"Pinyon Crest",12.1010625471705,"PF","Hot variable",7,3,221
1986,1,"Pinyon Crest",12.9811638156345,"PF","Hot variable",7,3,221
1986,2,"Pinyon Crest",14.4237040770609,"PF","Hot variable",7,3,221
1986,3,"Pinyon Crest",19.0669752158684,"PF","Hot variable",7,3,221
1986,7,"Pinyon Crest",33.6175242690737,"PF","Hot variable",7,3,221
1986,8,"Pinyon Crest",34.6826530203862,"PF","Hot variable",7,3,221
1986,9,"Pinyon Crest",27.0000126557819,"PF","Hot variable",7,3,221
1986,10,"Pinyon Crest",21.5159127569832,"PF","Hot variable",7,3,221
1986,11,"Pinyon Crest",15.9244379721887,"PF","Hot variable",7,3,221
1986,12,"Pinyon Crest",11.1010625471705,"PF","Hot variable",7,3,221
1987,1,"Pinyon Crest",9.13116381563448,"PF","Hot variable",7,3,221
1987,2,"Pinyon Crest",12.4737040770609,"PF","Hot variable",7,3,221
1987,3,"Pinyon Crest",15.3669752158684,"PF","Hot variable",7,3,221
1987,7,"Pinyon Crest",33.3675242690737,"PF","Hot variable",7,3,221
1987,8,"Pinyon Crest",33.6326530203862,"PF","Hot variable",7,3,221
1987,9,"Pinyon Crest",30.0500126557819,"PF","Hot variable",7,3,221
1987,10,"Pinyon Crest",24.0659127569832,"PF","Hot variable",7,3,221
1987,11,"Pinyon Crest",13.9744379721887,"PF","Hot variable",7,3,221
1987,12,"Pinyon Crest",7.6010625471705,"PF","Hot variable",7,3,221
1988,1,"Pinyon Crest",9.98116381563448,"PF","Hot variable",7,3,221
1988,2,"Pinyon Crest",14.6237040770609,"PF","Hot variable",7,3,221
1988,3,"Pinyon Crest",18.5169752158684,"PF","Hot variable",7,3,221
1988,7,"Pinyon Crest",34.8675242690737,"PF","Hot variable",7,3,221
1988,8,"Pinyon Crest",33.6826530203862,"PF","Hot variable",7,3,221
1988,9,"Pinyon Crest",29.8500126557819,"PF","Hot variable",7,3,221
1988,10,"Pinyon Crest",26.8659127569832,"PF","Hot variable",7,3,221
1988,11,"Pinyon Crest",16.4244379721887,"PF","Hot variable",7,3,221
1988,12,"Pinyon Crest",9.9010625471705,"PF","Hot variable",7,3,221
1989,1,"Pinyon Crest",8.28116381563448,"PF","Hot variable",7,3,221
1989,2,"Pinyon Crest",12.1737040770609,"PF","Hot variable",7,3,221
1989,3,"Pinyon Crest",19.8169752158684,"PF","Hot variable",7,3,221
1989,7,"Pinyon Crest",35.3675242690737,"PF","Hot variable",7,3,221
1989,8,"Pinyon Crest",31.8826530203862,"PF","Hot variable",7,3,221
1989,9,"Pinyon Crest",29.3000126557819,"PF","Hot variable",7,3,221
1989,10,"Pinyon Crest",21.4659127569832,"PF","Hot variable",7,3,221
1989,11,"Pinyon Crest",17.1744379721887,"PF","Hot variable",7,3,221
1989,12,"Pinyon Crest",11.8510625471705,"PF","Hot variable",7,3,221
1990,1,"Pinyon Crest",8.78116381563448,"PF","Hot variable",7,3,221
1990,2,"Pinyon Crest",10.6237040770609,"PF","Hot variable",7,3,221
1990,3,"Pinyon Crest",16.8669752158684,"PF","Hot variable",7,3,221
1990,7,"Pinyon Crest",34.0175242690737,"PF","Hot variable",7,3,221
1990,8,"Pinyon Crest",31.5326530203862,"PF","Hot variable",7,3,221
1990,9,"Pinyon Crest",28.8500126557819,"PF","Hot variable",7,3,221
1990,10,"Pinyon Crest",23.2659127569832,"PF","Hot variable",7,3,221
1990,11,"Pinyon Crest",15.2244379721887,"PF","Hot variable",7,3,221
1990,12,"Pinyon Crest",7.7010625471705,"PF","Hot variable",7,3,221
1991,1,"Pinyon Crest",9.08116381563448,"PF","Hot variable",7,3,221
1991,2,"Pinyon Crest",15.9237040770609,"PF","Hot variable",7,3,221
1991,3,"Pinyon Crest",11.3169752158684,"PF","Hot variable",7,3,221
1991,7,"Pinyon Crest",33.1175242690737,"PF","Hot variable",7,3,221
1991,8,"Pinyon Crest",32.3826530203862,"PF","Hot variable",7,3,221
1991,9,"Pinyon Crest",29.4500126557819,"PF","Hot variable",7,3,221
1991,10,"Pinyon Crest",24.1159127569832,"PF","Hot variable",7,3,221
1991,11,"Pinyon Crest",15.3744379721887,"PF","Hot variable",7,3,221
1991,12,"Pinyon Crest",8.9510625471705,"PF","Hot variable",7,3,221
1992,1,"Pinyon Crest",8.38116381563448,"PF","Hot variable",7,3,221
1992,2,"Pinyon Crest",12.2237040770609,"PF","Hot variable",7,3,221
1992,3,"Pinyon Crest",13.7669752158684,"PF","Hot variable",7,3,221
1992,7,"Pinyon Crest",32.7675242690737,"PF","Hot variable",7,3,221
1992,8,"Pinyon Crest",32.7826530203862,"PF","Hot variable",7,3,221
1992,9,"Pinyon Crest",30.2500126557819,"PF","Hot variable",7,3,221
1992,10,"Pinyon Crest",23.2659127569832,"PF","Hot variable",7,3,221
1992,11,"Pinyon Crest",13.9744379721887,"PF","Hot variable",7,3,221
1992,12,"Pinyon Crest",7.1010625471705,"PF","Hot variable",7,3,221
1993,1,"Pinyon Crest",7.28116381563448,"PF","Hot variable",7,3,221
1993,2,"Pinyon Crest",9.77370407706093,"PF","Hot variable",7,3,221
1993,3,"Pinyon Crest",17.9169752158684,"PF","Hot variable",7,3,221
1993,7,"Pinyon Crest",32.4175242690737,"PF","Hot variable",7,3,221
1993,8,"Pinyon Crest",32.3326530203862,"PF","Hot variable",7,3,221
1993,9,"Pinyon Crest",28.7000126557819,"PF","Hot variable",7,3,221
1993,10,"Pinyon Crest",21.7159127569832,"PF","Hot variable",7,3,221
1993,11,"Pinyon Crest",13.5244379721887,"PF","Hot variable",7,3,221
1993,12,"Pinyon Crest",9.4510625471705,"PF","Hot variable",7,3,221
1994,1,"Pinyon Crest",10.3311638156345,"PF","Hot variable",7,3,221
1994,2,"Pinyon Crest",8.57370407706093,"PF","Hot variable",7,3,221
1994,3,"Pinyon Crest",16.4169752158684,"PF","Hot variable",7,3,221
1994,7,"Pinyon Crest",34.3175242690737,"PF","Hot variable",7,3,221
1994,8,"Pinyon Crest",34.5326530203862,"PF","Hot variable",7,3,221
1994,9,"Pinyon Crest",29.6500126557819,"PF","Hot variable",7,3,221
1994,10,"Pinyon Crest",21.1159127569832,"PF","Hot variable",7,3,221
1994,11,"Pinyon Crest",11.0244379721887,"PF","Hot variable",7,3,221
1994,12,"Pinyon Crest",10.1010625471705,"PF","Hot variable",7,3,221
1995,1,"Pinyon Crest",8.78116381563448,"PF","Hot variable",7,3,221
1995,2,"Pinyon Crest",16.0237040770609,"PF","Hot variable",7,3,221
1995,3,"Pinyon Crest",16.6669752158684,"PF","Hot variable",7,3,221
1995,7,"Pinyon Crest",35.2675242690737,"PF","Hot variable",7,3,221
1995,8,"Pinyon Crest",35.0326530203862,"PF","Hot variable",7,3,221
1995,9,"Pinyon Crest",31.6000126557819,"PF","Hot variable",7,3,221
1995,10,"Pinyon Crest",24.2159127569832,"PF","Hot variable",7,3,221
1995,11,"Pinyon Crest",19.6244379721887,"PF","Hot variable",7,3,221
1995,12,"Pinyon Crest",12.5010625471705,"PF","Hot variable",7,3,221
1996,1,"Pinyon Crest",9.83116381563448,"PF","Hot variable",7,3,221
1996,2,"Pinyon Crest",9.37370407706093,"PF","Hot variable",7,3,221
1996,3,"Pinyon Crest",15.9669752158684,"PF","Hot variable",7,3,221
1996,7,"Pinyon Crest",34.2175242690737,"PF","Hot variable",7,3,221
1996,8,"Pinyon Crest",32.7826530203862,"PF","Hot variable",7,3,221
1996,9,"Pinyon Crest",27.2000126557819,"PF","Hot variable",7,3,221
1996,10,"Pinyon Crest",20.3159127569832,"PF","Hot variable",7,3,221
1996,11,"Pinyon Crest",15.1244379721887,"PF","Hot variable",7,3,221
1996,12,"Pinyon Crest",9.2510625471705,"PF","Hot variable",7,3,221
1997,1,"Pinyon Crest",8.13116381563448,"PF","Hot variable",7,3,221
1997,2,"Pinyon Crest",11.6737040770609,"PF","Hot variable",7,3,221
1997,3,"Pinyon Crest",19.9169752158684,"PF","Hot variable",7,3,221
1997,7,"Pinyon Crest",33.1675242690737,"PF","Hot variable",7,3,221
1997,8,"Pinyon Crest",33.8326530203862,"PF","Hot variable",7,3,221
1997,9,"Pinyon Crest",29.4000126557819,"PF","Hot variable",7,3,221
1997,10,"Pinyon Crest",20.6159127569832,"PF","Hot variable",7,3,221
1997,11,"Pinyon Crest",15.1244379721887,"PF","Hot variable",7,3,221
1997,12,"Pinyon Crest",8.0510625471705,"PF","Hot variable",7,3,221
1998,1,"Pinyon Crest",8.58116381563448,"PF","Hot variable",7,3,221
