Seasonality,MAT,MATR,MMTR,MDTR,MATmax,MMTmax,MATmin,MMTmin,Isothermality,Site,Site_initials,Climate profile,Annual_precipitation,Precipitation_seasonality,MAPmax,MAPmin,lat,lon
9.356313168,22.79544597,33.33333333,10.68981482,4.131689437,42.11111111,28.51388889,8.777777778,17.82407407,32.06944445,Merced,ME,Hot stable,284.939,2385.060297,154.83,0,37.35,-120.38
9.945546176,28.88742768,51.94355556,26.96992593,16.4588169,59.67,56.40888889,1.986,4.465333333,51.92160151,Anza Borrego HQ,AB,Hot variable,85.4,507.9528116,77.43,0,33.23,-116.38
3.699441764,13.92186459,23.7695,12.0775,5.757898235,27.3,25.805,0,2.0355,50.81091314,Bodega,B,Cold stable,781.287,5840.866166,472.48,0,38.32,-123.07
9.406703175,28.2079516,48.37518182,24.35958333,13.95080645,55.17,54.01181818,2.815,5.636636364,50.35553856,Boyd Deep Canyon,DC,Hot variable,105.817,672.7351802,94.44,0,33.66,-116.1
6.285258237,23.51390738,35.95616667,19.43451389,10.81058221,45.02,42.96083333,5.071,7.004666667,54.05057238,Elliot Chaparral,EC,Hot stable,306.113,2320.016785,191.05,0,32.83,-117.08
9.569657168,11.80435212,47.96754545,20.87910303,12.22418658,51.77,43.39181818,-15.38,-4.575727273,43.52756188,James San Jacinto,SJ,Cold variable,429.868,2758.558564,321.57,0,33.8,-116.76
7.307167602,18.99199453,32.78775,13.35608333,6.771452693,43,38.695,3.178,5.90725,40.73497978,Jepson Prairie,J,Hot stable,454.142,3696.476858,282.51,0,38.27,-121.82
8.317043048,18.97959177,34.51042857,13.46345238,6.1842426,43.33,38.16571429,2.544,3.655285714,39.01270699,McLaughlin,M,Hot stable,825.463,6810.513893,529.12,0,38.85,-122.4
3.383957621,13.18306903,14.0875,5.101916667,1.574768956,21.78,20.065,5.494,5.9775,36.21591245,Point Reyes,P,Cold stable,931.663,7586.705926,563.18,0,38.06,-122.9
9.78161615,21.67272873,44.7084,19.92213333,11.00511735,51.59,47.774,1.634,3.0656,44.56015723,Quail Ridge,QR,Hot variable,602.291,5044.004692,435.86,0,38.48,-122.15
9.603508033,11.28786061,52.5187,25.75242233,15.67224151,46.1,43.446,-13.21,-9.0727,49.0347673,SNARL,S,Cold variable,358.009,2285.278729,282.69,0,37.6,-118.81
6.242029889,7.400929116,19.9165,6.296166667,2.341995571,20.44,20.01,-0.016,0.0935,31.61281684,Valentine,V,Cold stable,588.816,3803.06494,446.73,0,37.62,-119.2
8.971126579,3.729974538,62.13,36.90245833,21.52855803,43.2,42.345,-19.96,-19.785,59.39555502,White Mountain,W,Cold variable,131.682,770.7204333,148.04,0,37.35,-118.31
8.590826375,10.56311387,29.865,12.57516667,5.623133055,29.84,29.84,-0.025,-0.025,42.10670238,Yosemite Mariposa Grove,Y,Cold stable,718.176,5693.717777,529.24,0,37.75,-119.8
9.385551042,22.44264523,46.45220534,22.99166667,12.00443089,47.05326789,35.18135966,0.601062547,12.18969299,49.49531782,Pinyon crest,PF,Hot variable,268.615,2262.297431,285.23,0,33.58,-116.45
