"seqID","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","model_name","Domain","Phylum","Class","Order","Family","Genus","Species","temperature_of_isolation","Area","Site_initials","metric","Seasonality","MMTR_sd","MAT","MATR","MMTR","MATmax","MMTmax","MATmin","MMTmin","MATmax_sd","MATmin_sd","Isothermality","Site","Climate profile","Annual_precipitation","Precipitation_seasonality","MAPmax","MAPmin","GC%","Total length","subopt_slope","superopt_slope"
"1",1.85251303963233,26.138,11.103,41.174,0,1.35566761147393,0,15.036,30.071,8.211,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,54.6,8731465,0.123213371442124,-0.1232051768843
"2",1.39228403865715,26.616,11.3,41.933,0,1.3008713091595,0,15.317,30.633,8.391,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.59,5736540,0.090903893879417,-0.0908979590427074
"3",1.14281645693452,26.159,7.178,45.139,0,1.16021494310692,0,18.98,37.961,10.364,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,59.23,6632668,0.0602084430185196,-0.0602116152231043
"4",0.987874610324394,25.666,5.697,45.635,0,0.985271519555184,0,19.969,39.938,10.918,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.04,5599294,0.049470409651179,-0.049470409651179
"5",0.726297785531418,25.991,9.135,42.846,0,1.41310625641501,0,16.855,33.711,9.199,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,59.23,6631547,0.0430883830998705,-0.0430909395153615
"6",0.741122810898775,23.974,4.798,43.149,0,1.43112903180061,0,19.175,38.351,10.465,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,59.23,6631052,0.0386484569721931,-0.0386504725370939
"7",0.794208491144675,27.174,6.739,47.609,0,0.630034794900501,0,20.435,40.87,11.158,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.34,5873126,0.0388651084484793,-0.0388651084484793
"8",1.37268448081714,25.486,9.508,41.465,0,1.24919195587566,0,15.979,31.957,8.77,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E lurida",15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.83,6190088,0.085910907548951,-0.0859055310605882
"9",1.25013278518212,26.775,13.3,40.249,0,1.37402042781483,0,13.474,26.949,7.367,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E rhodesiae",15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.65,5605055,0.0927742326665766,-0.0927811180927801
"10",1.52758318979157,22.51,10.272,34.749,0,1.22963243987551,0,12.239,24.477,6.745,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J","auc",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,58.4,7010671,0.124822944091483,-0.1248127453053
