"seqID","Glucose_stock_X","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","model_name","Domain","Phylum","Class","Order","Family","Genus","Species","temperature_of_isolation","Area","Site_initials","metric"
30,10,0.715961924684548,28.2657452035685,11.7129338185639,44.6627772040729,0.556887428468531,1.2385196703776,2.08912018878333,16.3970320005044,32.9830046165987,9.10790616250145,-0.68162914580373,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea agglomerans",15,"Bay","QR","rate"
30,100,0.627339659707256,27.2409431755776,7.71027282436812,45.7915783606048,0.253325370172302,0.975441061337361,1.40608368141568,18.5506351850272,38.2672161737482,10.9685413654961,-0.722076065331569,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea agglomerans",15,"Bay","QR","rate"
59,10,0.47682418195785,25.0258643219717,7.21273300268403,42.752856553434,0.359189713241771,0.008634216425169,1.621147889908,17.7269922314623,35.5483343795331,9.77120160458378,-0.00484745782698526,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Serratia_J","Serratia_J quinivorans",15,"Bay","P","rate"
59,100,0.461985106268237,26.769193264755,1.23118201062537,47.9159496711252,0.330871159550641,0.768992817896177,1.55845394689362,21.1467564063702,46.6774895645289,13.4793757328413,-0.438121658345537,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Serratia_J","Serratia_J quinivorans",15,"Bay","P","rate"
62,10,0.776098826142665,29.0756660380151,13.2549542892821,44.5874132318317,0.772063658295171,1.16522359171735,2.76335830916865,15.5117471938166,31.3324589425495,8.62941713174605,-0.393159933422183,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter mori",25,"Bay","J","rate"
62,100,0.550102749364128,29.6275288692289,11.3038832217015,46.9537066066476,0.604936190615078,0.98823849472352,2.21852757172814,17.3261777374187,35.6498233849461,10.0228510262009,-0.383302304108441,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter mori",25,"Bay","J","rate"
92,10,0.882449448585401,29.5922262801259,12.6117525834723,45.9985056507074,0.812531179678687,0.949780908100678,2.92507660884632,16.4062793705815,33.386753067235,9.51013899352365,-0.137249728421992,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","UBA7405","UBA7405 sp002469605",25,"Bay","M","rate"
92,100,0.642551057155793,30.4925532900315,3.26715499097745,46.1186338105406,0.456521475320149,0.962467538544704,1.82726718146609,15.6260805205091,42.8514788195632,12.2589807922032,-0.505946063224553,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","UBA7405","UBA7405 sp002469605",25,"Bay","M","rate"
93,10,0.657480114076571,27.4892457935404,16.1947350337998,38.5685368218954,0.233782289141338,0.023738280251916,1.38624046569719,11.0792910283549,22.3674434395389,6.53748298495632,-0.0298966362819284,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Scandinavium","",25,"Bay","B","rate"
93,100,0.570760505094185,26.9101205470407,13.5499707561589,40.2706459721718,1.13212524802827,1.36077550361562,4.56038503242789,13.3605254251311,26.7206673026999,7.29513164200949,-0.22865025558735,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Scandinavium","",25,"Bay","B","rate"
100,10,0.892911546637384,29.7140298186195,9.70857802343849,46.0604883966027,0.627703991849401,1.04821592228868,2.29389759524476,16.3464585779832,36.3519103731642,10.105978975744,-0.420511930439281,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","UBA7405","UBA7405 sp002469605",25,"Bay","B","rate"
100,100,0.759356077908388,32.1985822037384,-1.97092691449799,44.5610341773571,0.497427281598097,1.54575312759213,1.92018322391278,12.3624519736187,46.5319610918551,11.3181689084202,-1.04832584599404,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","UBA7405","UBA7405 sp002469605",25,"Bay","B","rate"
102,10,0.904188547196301,29.6699000569465,11.1876745117267,45.8170399498981,0.65066945018713,1.04620364190537,2.36415322994913,16.1471398929516,34.6293654381713,10.3305164815934,-0.395534191718243,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","UBA7405","UBA7405 sp002469605",25,"Bay","B","rate"
102,100,0.746482838562062,31.0273704120479,8.92364906551079,46.0622692460122,0.549584355001512,1.47559073920628,2.05704171093365,15.0348988339643,37.1386201805014,10.5211741213841,-0.926006384204772,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","UBA7405","UBA7405 sp002469605",25,"Bay","B","rate"
103,10,0.78451394343234,28.6995896320553,11.9104170129877,45.3248037390026,0.672238845384217,1.09276659141346,2.42596972279135,16.6252141069474,33.4143867260149,9.34634057803921,-0.42052774602924,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella davisae_A",25,"Bay","P","rate"
103,100,0.570604516139331,30.0330150918342,11.6961027560221,47.7156645167678,0.509215220157919,0.937750509661692,1.9622921349481,17.6826494249336,36.0195617607457,9.97834782133349,-0.428535289503773,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella davisae_A",25,"Bay","P","rate"
118,10,0.651772917026726,28.374303382286,12.3110888136941,44.3216976286817,0.604679521052903,1.3473067908053,2.22151361307716,15.9473942463957,32.0155470856077,8.8420869004809,-0.742627269752396,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea agglomerans",35,"Bay","QR","rate"
118,100,0.570497742822901,27.5566256986954,11.8880597111876,43.2011590511523,1.42837745737577,0.956891935460495,6.78161815213646,15.644533352457,31.31336055939,8.61236148558898,0.471485521915275,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea agglomerans",35,"Bay","QR","rate"
128,10,0.663927041272459,26.0672315793702,9.99586737357731,42.0142394557781,0.491662262753519,1.57982009381687,1.95450919504134,15.9470078764079,32.0235175695473,8.80538053768634,-1.0881126710735,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Lelliottia","Lelliottia amnigena",35,"Bay","B","rate"
128,100,0.509277495030222,28.581423770313,13.3724171627987,43.6755706721527,0.670528199021613,1.28256334791544,2.42711666928752,15.0941469018397,30.3044149379372,8.37260817752854,-0.612035148893826,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Lelliottia","Lelliottia amnigena",35,"Bay","B","rate"
140,10,0.553550119089831,26.1805206775186,10.0984131862328,42.1439815965554,0.408639345653904,1.6200576242387,1.7416751835087,15.9634609190368,32.0521459520427,8.84286298563604,-1.21137799963491,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Serratia_J","Serratia_J proteamaculans_D",35,"Bay","P","rate"
140,100,0.462232333249857,27.6455773870389,9.96247437784749,44.5512172307929,0.442271016778034,0.999188132477101,1.81620597373205,16.905639843754,34.5936524512716,9.64814705629619,-0.556917115699067,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Serratia_J","Serratia_J proteamaculans_D",35,"Bay","P","rate"
171,10,0.754927600069863,29.6115236111362,-2.25871259423481,44.47544898893,0.343802191031202,1.25043123558065,1.58069266512661,14.8639253777938,46.9048289034197,13.4548096434749,-0.906629044549453,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","Aeromonas rivipollensis",15,"Sierras","V","rate"
171,100,0.739426039946071,30.0931890915283,3.57067192257229,45.7842743362841,0.255186119389671,1.38847293632523,1.42727078504369,15.6910852447558,42.3101577746019,11.7489040184993,-1.13328681693555,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","Aeromonas rivipollensis",15,"Sierras","V","rate"
172,10,0.613469592603939,26.5134544405947,20.6536252966885,32.4001627722996,3.91590795547314,2.55328607054645,0.0108636812450379,5.88670833170484,11.7374988643598,3.36197612521989,1.36262188492669,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella","Shewanella sp002966515",15,"Sierras","V","rate"
172,100,0.641563973891697,26.2703726148026,19.2576744037654,33.2900006923437,1.12134772597975,0.00198131595470152,4.53794073905119,7.01962807754105,14.0315742420407,3.86899265332595,-0.00145740189072726,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella","Shewanella sp002966515",15,"Sierras","V","rate"
191,10,0.850682297420792,29.7706651136998,12.9505426877093,45.5229477843745,0.725603750124574,1.0493048116842,2.60815294160583,15.7522826706747,32.5724050966652,9.12283019966856,-0.323701061559623,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea sp900115075",15,"Sierras","ME","rate"
191,100,0.727145351428742,28.0153198386741,7.65407785318319,46.3675771056975,0.501551757952832,0.836866793908341,1.96201707373724,18.3522572670234,39.3010392309159,11.6038549799877,-0.335313248313358,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea sp900115075",15,"Sierras","ME","rate"
195,10,0.832856641205366,29.6799138308958,13.9393441360435,44.9125692789623,0.719461267841677,1.09352498384552,2.58754239303028,15.2326554480665,30.9732251429188,8.49383087161632,-0.374063716003842,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus",15,"Sierras","ME","rate"
195,100,0.675911458784257,30.5176003502571,8.85165544512136,45.9704753252774,0.625685165644611,0.967054460076731,2.28829218600586,15.4528749750203,37.118819880156,11.1632560652954,-0.341369294432119,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus",15,"Sierras","ME","rate"
196,10,0.802559831635282,29.7839041393629,13.0513351149099,45.2833702248004,0.624761703975356,1.11804612102959,2.28421749022261,15.4994660854375,32.2320351098904,8.8294477227336,-0.493284417054234,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus",15,"Sierras","ME","rate"
196,100,0.642898475973438,29.0070555018022,10.7004001503138,46.0827789822489,0.654949384848176,0.987435420998508,2.38041082203045,17.0757234804467,35.3823788319351,10.1861944874712,-0.332486036150332,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus",15,"Sierras","ME","rate"
214,10,0.603239799071325,23.552156879727,8.64113139078575,38.4790822036457,0.149725003215489,0.000262178155740313,1.22606580592031,14.9269253239187,29.8393357032039,8.19016990242205,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp012935755",25,"Sierras","S","rate"
214,100,0.782402580649605,23.1351340346946,7.09416265012369,39.1968293415661,0.140488437008037,1.41448187664256,1.18037058766161e-05,16.0616953068715,32.1040622223282,8.76885099808898,-1.27365605658116,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp012935755",25,"Sierras","S","rate"
228,10,0.645036273886895,24.435319063719,11.7633071376458,37.1104531636587,0.812841189979618,6.3682231903693e-05,3.00946064880214,12.6751340999398,25.3477885866023,6.96793607243091,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","",25,"Sierras","V","rate"
228,100,0.660187563743816,26.5488793611173,18.2122269122604,34.8846248650375,1.02356361206263,3.85249876284296e-05,3.96738350622199,8.33574550392014,16.6723313972002,4.63178552042516,-2.20973743310519e-05,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","",25,"Sierras","V","rate"
231,10,0.875207600038074,29.2495623748915,14.363438161626,43.8591703176813,0.641425849057943,1.27406476930427,2.33705627468629,14.6096079427898,29.5040173367506,8.10521459903622,-0.63263892024632,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea agglomerans",25,"Sierras","Y","rate"
231,100,0.752892280252403,28.1801129138731,11.5839649812975,44.6499929150268,0.640529912261164,1.15918797874336,2.33680487006155,16.4698800011537,33.0886230436286,9.1066517898913,-0.518653446588741,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea agglomerans",25,"Sierras","Y","rate"
240,10,0.533795771009897,26.0508076114223,12.915404061327,39.1867173640676,0.99610503001653,1.64624302753947,3.80162735166091,13.1359097526453,26.271047467788,7.17403386017272,-0.65013644231616,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Erwinia","Erwinia billingiae",25,"Sierras","Y","rate"
240,100,0.503639554723494,24.2976434439734,8.2180865625965,40.3696379625742,0.410301077870871,1.14013069629794,1.74048429545303,16.0719945186008,32.1508420674981,8.79957863144769,-0.729334511546792,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Erwinia","Erwinia billingiae",25,"Sierras","Y","rate"
245,10,0.865562135182265,29.3732472402073,13.5325165289866,45.0705671962188,0.762224191223913,1.0675865834184,2.73143184414135,15.6973199560116,31.5380506672322,8.64231668314495,-0.305362392194483,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus",25,"Sierras","ME","rate"
