Site,Site_initials,Climate profile,lat,lon
Merced,ME,Hot stable,37.35,-120.38
Anza Borrego HQ,AB,Hot variable,33.23,-116.38
Bodega,B,Cold stable,38.32,-123.07
Boyd Deep Canyon,DC,Hot variable,33.66,-116.1
Elliot Chaparral,EC,Hot stable,32.83,-117.08
James San Jacinto,SJ,Cold variable,33.8,-116.76
Jepson Prairie,J,Hot stable,38.27,-121.82
McLaughlin,M,Hot stable,38.85,-122.4
Point Reyes,P,Cold stable,38.06,-122.9
Quail Ridge,QR,Hot variable,38.48,-122.15
SNARL,S,Cold variable,37.6,-118.81
Valentine,V,Cold stable,37.62,-119.2
White Mountain,W,Cold variable,37.35,-118.31
Yosemite Mariposa Grove,Y,Cold stable,37.75,-119.8
Pinyon crest,PF,Hot variable,33.58,-116.45
