"Trait","metric","Variable","Effect","Estimate","Std_Error","t_value","p_value","Partial_R2","Variance_observed","Lower_CI","Upper_CI","Significant","model"
"rmax","auc","PC1","fixed",0.054,0.043,1.251,0.23,0.004,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"rmax","auc","PC2","fixed",0.03,0.061,0.484,0.636,0.001,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"rmax","auc","temperature_of_isolation","fixed",0.003,0.008,0.325,0.746,0,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"topt","auc","PC1","fixed",-0.334,0.094,-3.556,0,0.023,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"topt","auc","PC2","fixed",0.463,0.128,3.621,0,0.021,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"topt","auc","temperature_of_isolation","fixed",-0.124,0.029,-4.358,0,0.043,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmax","auc","PC1","fixed",-0.08,0.192,-0.417,0.684,0.001,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmax","auc","PC2","fixed",0.715,0.278,2.574,0.025,0.046,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmax","auc","temperature_of_isolation","fixed",0.05,0.041,1.214,0.226,0.006,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmin","auc","PC1","fixed",-0.459,0.341,-1.347,0.205,0.014,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
