"Trait","metric","Variable","Effect","Estimate","Std_Error","t_value","p_value","Partial_R2","Variance_observed","Lower_CI","Upper_CI","Significant"
"rmax","auc","MAT","fixed",0.011,0.013,0.848,0.411,0.002,NA,NA,NA,NA
"rmax","auc","MATR","fixed",-0.013,0.007,-1.774,0.096,0.006,NA,NA,NA,NA
"rmax","auc","temperature_of_isolation","fixed",0.003,0.008,0.406,0.685,0,NA,NA,NA,NA
"topt","auc","MAT","fixed",0.105,0.029,3.664,0,0.026,NA,NA,NA,NA
"topt","auc","MATR","fixed",0.054,0.017,3.143,0.002,0.02,NA,NA,NA,NA
"topt","auc","temperature_of_isolation","fixed",-0.125,0.029,-4.355,0,0.043,NA,NA,NA,NA
"ctmax","auc","MAT","fixed",0.178,0.058,3.081,0.01,0.057,NA,NA,NA,NA
"ctmax","auc","MATR","fixed",-0.005,0.033,-0.143,0.888,0,NA,NA,NA,NA
"ctmax","auc","temperature_of_isolation","fixed",0.052,0.041,1.264,0.207,0.006,NA,NA,NA,NA
"ctmin","auc","MAT","fixed",0.013,0.113,0.115,0.911,0,NA,NA,NA,NA
"ctmin","auc","MATR","fixed",0.076,0.063,1.195,0.258,0.009,NA,NA,NA,NA
"ctmin","auc","temperature_of_isolation","fixed",-0.254,0.062,-4.119,0,0.058,NA,NA,NA,NA
"rmax","auc","Genus:Order","random",NA,NA,NA,NA,NA,0.168,0,0.165,TRUE
"rmax","auc","Site","random",NA,NA,NA,NA,NA,0.018,0,0.056,FALSE
"rmax","auc","Order","random",NA,NA,NA,NA,NA,0.651,0,0.056,TRUE
"rmax","auc","Residual","random",NA,NA,NA,NA,NA,0.163,0.812,1,TRUE
"topt","auc","Genus:Order","random",NA,NA,NA,NA,NA,0.344,0,0.191,TRUE
"topt","auc","Site","random",NA,NA,NA,NA,NA,0,0,0.055,FALSE
"topt","auc","Order","random",NA,NA,NA,NA,NA,0,0,0.054,FALSE
"topt","auc","Residual","random",NA,NA,NA,NA,NA,0.656,0.789,1,TRUE
"ctmax","auc","Genus:Order","random",NA,NA,NA,NA,NA,0.036,0,0.157,FALSE
"ctmax","auc","Site","random",NA,NA,NA,NA,NA,0.054,0,0.055,FALSE
"ctmax","auc","Order","random",NA,NA,NA,NA,NA,0.16,0,0.057,TRUE
"ctmax","auc","Residual","random",NA,NA,NA,NA,NA,0.751,0.818,1,TRUE
"ctmin","auc","Genus:Order","random",NA,NA,NA,NA,NA,0.005,0,0.22,FALSE
"ctmin","auc","Site","random",NA,NA,NA,NA,NA,0.147,0,0.056,TRUE
"ctmin","auc","Order","random",NA,NA,NA,NA,NA,0.006,0,0.054,FALSE
"ctmin","auc","Residual","random",NA,NA,NA,NA,NA,0.843,0.756,1,FALSE
