"Trait","metric","Variable","Effect","Estimate","Std_Error","t_value","p_value","Partial_R2","Variance_observed","Lower_CI","Upper_CI","Significant"
"rmax","rate","PC1","fixed",0.009,0.004,1.966,0.067,0.015,NA,NA,NA,NA
"rmax","rate","PC2","fixed",0.001,0.006,0.155,0.88,0.002,NA,NA,NA,NA
"rmax","rate","temperature_of_isolation","fixed",-0.009,0.001,-7.139,0,0.127,NA,NA,NA,NA
"topt","rate","PC1","fixed",-0.159,0.132,-1.198,0.254,0.003,NA,NA,NA,NA
"topt","rate","PC2","fixed",0.561,0.189,2.962,0.014,0.053,NA,NA,NA,NA
"topt","rate","temperature_of_isolation","fixed",-0.038,0.027,-1.425,0.156,0.003,NA,NA,NA,NA
"ctmax","rate","PC1","fixed",-0.194,0.168,-1.159,0.266,0.004,NA,NA,NA,NA
"ctmax","rate","PC2","fixed",1.037,0.241,4.299,0.001,0.115,NA,NA,NA,NA
"ctmax","rate","temperature_of_isolation","fixed",0.099,0.036,2.738,0.007,0.028,NA,NA,NA,NA
"ctmin","rate","PC1","fixed",-0.178,0.211,-0.843,0.413,0.005,NA,NA,NA,NA
"ctmin","rate","PC2","fixed",-0.538,0.299,-1.8,0.098,0.015,NA,NA,NA,NA
"ctmin","rate","temperature_of_isolation","fixed",-0.213,0.057,-3.727,0,0.053,NA,NA,NA,NA
"rmax","rate","Genus:Order","random",NA,NA,NA,NA,NA,0.09,0,0.121,FALSE
"rmax","rate","Site","random",NA,NA,NA,NA,NA,0.017,0,0.057,FALSE
"rmax","rate","Order","random",NA,NA,NA,NA,NA,0.206,0,0.05,TRUE
"rmax","rate","Residual","random",NA,NA,NA,NA,NA,0.686,0.855,1,TRUE
"topt","rate","Genus:Order","random",NA,NA,NA,NA,NA,0.345,0,0.175,TRUE
"topt","rate","Site","random",NA,NA,NA,NA,NA,0.067,0,0.055,TRUE
"topt","rate","Order","random",NA,NA,NA,NA,NA,0,0,0.054,FALSE
"topt","rate","Residual","random",NA,NA,NA,NA,NA,0.588,0.8,1,TRUE
"ctmax","rate","Genus:Order","random",NA,NA,NA,NA,NA,0.07,0,0.449,FALSE
"ctmax","rate","Site","random",NA,NA,NA,NA,NA,0.074,0,0.056,TRUE
"ctmax","rate","Order","random",NA,NA,NA,NA,NA,0.055,0,0.059,FALSE
"ctmax","rate","Residual","random",NA,NA,NA,NA,NA,0.802,0.472,1,FALSE
"ctmin","rate","Genus:Order","random",NA,NA,NA,NA,NA,0.08,0,0.191,FALSE
"ctmin","rate","Site","random",NA,NA,NA,NA,NA,0.025,0,0.056,FALSE
"ctmin","rate","Order","random",NA,NA,NA,NA,NA,0.006,0,0.054,FALSE
"ctmin","rate","Residual","random",NA,NA,NA,NA,NA,0.889,0.785,1,FALSE
"rmax","rate","Marginal_R2","model_fit",NA,NA,NA,NA,NA,0.155,NA,NA,NA
"rmax","rate","Conditional_R2","model_fit",NA,NA,NA,NA,NA,0.42,NA,NA,NA
"topt","rate","Marginal_R2","model_fit",NA,NA,NA,NA,NA,0.065,NA,NA,NA
"topt","rate","Conditional_R2","model_fit",NA,NA,NA,NA,NA,0.45,NA,NA,NA
"ctmax","rate","Marginal_R2","model_fit",NA,NA,NA,NA,NA,0.15,NA,NA,NA
"ctmax","rate","Conditional_R2","model_fit",NA,NA,NA,NA,NA,0.319,NA,NA,NA
"ctmin","rate","Marginal_R2","model_fit",NA,NA,NA,NA,NA,0.067,NA,NA,NA
"ctmin","rate","Conditional_R2","model_fit",NA,NA,NA,NA,NA,0.17,NA,NA,NA
