"Trait","Estimate","Std. Error","df","t value","Pr(>|t|)","grp","share"
"rmax",0.0536229275199577,0.042877744895363,15.0819957669766,1.25060046070092,0.230135164148799,"PC1",0.00364477927966273
"rmax",0.0296695122127595,0.0612458008870687,12.8702976373897,0.484433410667079,0.636218061916497,"PC2",0.000851178130616719
"rmax",0.0026597304997667,0.00818710536780773,230.632749748732,0.324868238562672,0.745575283081409,"temperature_of_isolation",9.56206516756408e-05
"topt",-0.333779924867277,0.0938758596799355,246.734392777615,-3.55554586669332,0.000452027296303355,"PC1",0.0225937256621266
"topt",0.462565809087338,0.127728339128633,245.270381521111,3.62148143664104,0.000355896124789721,"PC2",0.0212677568339474
"topt",-0.124365350419577,0.0285343675852883,236.214374938763,-4.35844074861139,1.95520626783863e-05,"temperature_of_isolation",0.0434489140309145
"ctmax",-0.0801675591723739,0.192373748624143,13.132173576897,-0.416728164553283,0.683608515435353,"PC1",0.000519668555066376
"ctmax",0.71505686076263,0.277767833795398,11.4214020737629,2.57429685429068,0.0251844527844924,"PC2",0.0460497056774282
"ctmax",0.0503087608050566,0.04144900213008,243.073879934224,1.21375083161645,0.226020895950445,"temperature_of_isolation",0.00572181656290771
"ctmin",-0.459075391218887,0.34079406885175,10.8430964007381,-1.34707564825194,0.205433132061464,"PC1",0.0143454639740367
"ctmin",0.0441667225316822,0.502042665134582,10.4968571360868,0.0879740420464912,0.931553134900945,"PC2",0.000217548150362721
"ctmin",-0.254158251313827,0.0615928978247807,236.850928339342,-4.12642139418177,5.10513516936902e-05,"temperature_of_isolation",0.0596010634983965
