"Trait","Estimate","Std. Error","df","t value","Pr(>|t|)","grp","share"
"rmax",0.0109263646388409,0.0128861184008715,13.5931677370875,0.847917448756481,0.411166207669121,"MAT",0.00171348134170547
"rmax",-0.0132136081752875,0.00744693758905437,15.2321573146285,-1.7743680563013,0.0959868978070198,"MATR",0.00633633397620624
"rmax",0.00332548767508297,0.0081817411227496,230.887916099886,0.406452321723593,0.684786766156986,"temperature_of_isolation",0.000136513093730688
"topt",0.105274282315372,0.0287359146185887,245.102359222382,3.66350901694536,0.000304873336448781,"MAT",0.0256979469603147
"topt",0.0537390742603529,0.0170968326473223,246.962759066557,3.14321812518704,0.00187527158847028,"MATR",0.0201376124449047
"topt",-0.124687140524351,0.0286326719855017,236.723217260469,-4.35471550079178,1.98460722534959e-05,"temperature_of_isolation",0.0434956420632271
"ctmax",0.177508518683432,0.0576082261069316,11.7696272676957,3.08130506143243,0.00971228380353658,"MAT",0.0566104419699969
"ctmax",-0.00471568287130555,0.032973999748013,12.972239403837,-0.143012158286613,0.888478106588651,"MATR",0.000443347201200729
"ctmax",0.05231042536937,0.0413802540334796,243.170750695327,1.26413978336255,0.207390241814914,"temperature_of_isolation",0.00604995527122095
"ctmin",0.0129731853655913,0.112732227990443,10.6621670664876,0.115079650219377,0.910520569738293,"MAT",0.000348590919922184
"ctmin",0.0757560360124228,0.0633878590797297,10.6314260335521,1.19511901982896,0.258019505785922,"MATR",0.00901413380505317
"ctmin",-0.254067317061111,0.0616817418175066,236.585752337335,-4.11900360746625,5.26267899622893e-05,"temperature_of_isolation",0.0582261298217683
