"Trait","Estimate","Std. Error","df","t value","Pr(>|t|)","grp","share"
"rmax",0.00872977400845315,0.00444059399541131,15.4920668332802,1.96590231340088,0.0674950897839749,"PC1",0.015487844648115
"rmax",0.000957574002735676,0.00619763632403493,12.3232214461693,0.154506323486928,0.879712203161333,"PC2",0.00215407990191158
"rmax",-0.00860950897807774,0.00120600153620721,234.266223145739,-7.13888723985715,1.17310887110598e-11,"temperature_of_isolation",0.126740235517938
"topt",-0.158694057952091,0.13249731006143,12.0857611772638,-1.19771531873753,0.253990270857058,"PC1",0.00287341374300353
"topt",0.561348311646154,0.189487789475398,10.3176770918808,2.96245110674552,0.0137790794361115,"PC2",0.0529249677015625
"topt",-0.0379485301298518,0.0266350931830651,238.113127005252,-1.42475679994917,0.155536850479706,"temperature_of_isolation",0.0034284745601198
"ctmax",-0.194294915190435,0.167680132557558,14.2188447989501,-1.15872353049185,0.265660020125812,"PC1",0.00395350209968769
"ctmax",1.03692749062883,0.241181911480596,12.2407707885265,4.29935845629227,0.000988105588422606,"PC2",0.114642293567883
"ctmax",0.0988196730822984,0.036097715528381,243.028333933408,2.73756030363206,0.0066473156895611,"temperature_of_isolation",0.027893833478552
"ctmin",-0.178194481822981,0.211453363087669,14.872460809252,-0.842712923648797,0.41273686652119,"PC1",0.00548903604792369
"ctmin",-0.537518344139496,0.298572047960202,11.5752565512819,-1.80029693942128,0.0979054398475265,"PC2",0.015471690219691
"ctmin",-0.213456775363171,0.0572718030973447,234.041711101981,-3.72708320358552,0.000242943112443065,"temperature_of_isolation",0.0529728660649288
