"observed","lower_ci","upper_ci","Factor","Trait","significant"
0.168722251730095,0,0.150197784399477,"Genus:Order","rmax",TRUE
0.0214325321960824,0,0.0572555415899455,"Site","rmax",FALSE
0.648324907266159,0,0.0513010345037938,"Order","rmax",TRUE
0.161520308807663,0.826709520367505,1,"Residual","rmax",TRUE
0.353285971375455,0,0.177520896046622,"Genus:Order","topt",TRUE
0,0,0.0552028379516018,"Site","topt",FALSE
0,0,0.0561595542760592,"Order","topt",FALSE
0.646714028624545,0.787921207514609,1,"Residual","topt",TRUE
0.0343752074842436,0,0.154813754902628,"Genus:Order","ctmax",FALSE
0.0686054959483853,0,0.0566090204495894,"Site","ctmax",TRUE
0.163831269770256,0,0.0510016069215932,"Order","ctmax",TRUE
0.733188026797115,0.827066577684121,1,"Residual","ctmax",TRUE
0.00595422845643546,0,0.225441630651625,"Genus:Order","ctmin",FALSE
0.143601669296104,0,0.0578241610366778,"Site","ctmin",TRUE
0.00436617425538812,0,0.057315726276182,"Order","ctmin",FALSE
0.846077927992073,0.753675924700006,1,"Residual","ctmin",FALSE
