"observed","lower_ci","upper_ci","Factor","Trait","significant"
0.167951655099449,0,0.164694394622016,"Genus:Order","rmax",TRUE
0.0180387513160096,0,0.0555517646275467,"Site","rmax",FALSE
0.650983797768853,0,0.0556722463375551,"Order","rmax",TRUE
0.163025795815689,0.811634326888504,1,"Residual","rmax",TRUE
0.343713082241662,0,0.190647878586827,"Genus:Order","topt",TRUE
0,0,0.0548401001425353,"Site","topt",FALSE
0,0,0.0540681319277009,"Order","topt",FALSE
0.656286917758338,0.789085784632336,1,"Residual","topt",TRUE
0.0358028267514761,0,0.156940336957159,"Genus:Order","ctmax",FALSE
0.053839961135425,0,0.0547520681890281,"Site","ctmax",FALSE
0.159619121463142,0,0.0565853204285292,"Order","ctmax",TRUE
0.750738090649957,0.818356853568125,1,"Residual","ctmax",TRUE
0.00504838231222803,0,0.219508215181532,"Genus:Order","ctmin",FALSE
0.146617116356339,0,0.0556581799845325,"Site","ctmin",TRUE
0.0055659553757726,0,0.0539364491771568,"Order","ctmin",FALSE
0.842768545955661,0.755834399412365,1,"Residual","ctmin",FALSE
