"observed","lower_ci","upper_ci","Factor","Trait","significant"
0.0901232560199478,0,0.121455016193516,"Genus","rmax",FALSE
0.0172386024271242,0,0.0573197975319295,"Site","rmax",FALSE
0.206331782930559,0,0.0500078931673072,"Order","rmax",TRUE
0.686306358622369,0.854517023639349,1,"Residual","rmax",TRUE
0.345242683053631,0,0.174817107583958,"Genus","topt",TRUE
0.0665583770767393,0,0.0545224660765225,"Site","topt",TRUE
0,0,0.0542591488338799,"Order","topt",FALSE
0.58819893986963,0.800087418861157,1,"Residual","topt",TRUE
0.0697408008484838,0,0.449467551080061,"Genus","ctmax",FALSE
0.0738937888377565,0,0.0555387778170202,"Site","ctmax",TRUE
0.0547498036627808,0,0.0587835961900152,"Order","ctmax",FALSE
0.801615606650979,0.472217118989228,1,"Residual","ctmax",FALSE
0.080317948319364,0,0.190846373167964,"Genus","ctmin",FALSE
0.0249243519881227,0,0.0564835319821525,"Site","ctmin",FALSE
0.00560520082398102,0,0.0539361886143178,"Order","ctmin",FALSE
0.889152498868532,0.784872799998615,1,"Residual","ctmin",FALSE
