"seqID","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","model_name","Domain","Phylum","Class","Order","Family","Genus","Species","temperature_of_isolation","Area","Site_initials","metric","Seasonality","MMTR_sd","MAT","MATR","MMTR","MATmax","MMTmax","MATmin","MMTmin","MATmax_sd","MATmin_sd","Isothermality","Site","Climate profile","Annual_precipitation","Precipitation_seasonality","MAPmax","MAPmin","GC%","Total length","subopt_slope","superopt_slope"
"1",0.666943636109743,24.121,5.324,42.919,0,1.30328112271718,0,18.798,37.595,10.262,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,54.6,8731465,0.0354813872484834,-0.0354794997398523
"2",0.705810768562667,24.609,6.853,42.365,0,1.56897981048758,0,17.756,35.512,9.72,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.59,5736540,0.0397505501555906,-0.0397505501555906
"3",0.424571013853805,22.651,-16.42,61.722,0,0.242939582439739,0,39.071,78.142,18.319,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,59.23,6632668,0.0108666533708839,-0.0108666533708839
"4",0.579243859404484,22.492,0.448,44.535,0,0.679119740528887,0,22.043,44.087,12.068,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.04,5599294,0.026276712910746,-0.02627790497684
"5",0.474846798680175,25.319,9.803,40.835,0,1.65019566524093,0,15.516,31.032,8.49,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,59.23,6631547,0.0306036864320814,-0.0306036864320814
"6",0.388281117175594,21.229,-2.61,45.068,0,0.645104282292898,0,23.839,47.678,12.738,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,59.23,6631052,0.0162876428195643,-0.0162876428195643
"7",0.574997468383398,24.959,8.73,41.189,0,1.25273559767563,0,16.23,32.459,8.858,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA,15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.34,5873126,0.0354302463727524,-0.0354280633631176
"8",0.768094721307093,19.055,-2.111,40.22,0,0.990499336687426,0,21.165,42.331,9.831,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E lurida",15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.83,6190088,0.0362890825525415,-0.0362907971323928
"9",0.924195478085963,24.273,1.954,46.592,0,0.982674297916799,0,22.319,44.638,12.192,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E rhodesiae",15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,60.65,5605055,0.0414084626589884,-0.0414084626589884
"10",0.650145752290912,19.902,1.348,38.456,0,1.07620726250517,0,18.554,37.108,9.966,0,"model average","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J","rate",715.135157089093,3.39091988539475,18.9919945272543,39.822,13.3560833333333,43,26.8227083333333,3.178,13.466625,9.7690587842505,6.34725910229779,33.539458925552,"Jepson Prairie","Hot stable",454.142,3696.476858,282.51,0,58.4,7010671,0.0350407325800858,-0.0350407325800858
