curve_id,contigs >= 0bp,contigs >= 1000bp,contigs >= 5000bp,contigs >= 10000bp,contigs >= 25000bp,contigs >= 50000bp,length >= 0bp,length >= 1000bp,length >= 5000bp,length >= 10000bp,length >= 25000bp,length >= 50000bp,Contigs,Largest_contig,Total length,GC%,N50,N90,auN,L50,L90,#Ns_per_kbp
100,79,19,16,16,16,15,4615412,4603320,4597591,4597591,4597591,4571334,21,1164551,4604797,56.91,433552,119878,558560.3,4,11,17.24
101,199,41,35,35,30,29,6352369,6316787,6305291,6305291,6213229,6184505,46,902712,6319954,59.22,277944,87146,340108.5,8,23,31.35
102,89,19,16,16,16,15,4619576,4604088,4598359,4598359,4598359,4549313,21,1164551,4605564,56.9,433552,119878,557409.7,4,11,16.94
103,218,43,35,34,29,23,4985621,4948269,4929839,4920889,4839993,4622382,49,499471,4952236,53.88,214663,79757,247542.4,8,21,27.54
104,303,60,56,52,47,41,6457300,6408928,6402219,6374712,6265915,6022179,68,523176,6413803,60.13,176744,61342,200207.4,12,37,46.56
105,177,45,39,38,33,26,5125145,5100086,5086948,5080286,5010441,4726941,51,563922,5103319,61.85,187696,75035,251738.2,8,24,13.93
106,273,33,25,25,24,22,6392542,6349847,6332300,6332300,6321717,6247011,40,741234,6354388,60.67,334098,166779,389357,7,17,14.46
107,281,32,27,27,26,22,6393418,6351630,6340292,6340292,6329709,6169530,36,742150,6354778,60.67,334033,148214,385577,7,18,11.91
108,236,49,46,45,40,29,6535900,6503027,6499207,6491903,6388591,6002457,52,883320,6504976,60.13,263283,57485,382603.7,7,27,19.03
109,871,25,21,21,18,14,5324934,5085964,5075682,5075682,5019696,4877095,54,810649,5103265,61.9,418175,213667,440930.5,5,12,13.29
10,2689,41,29,26,24,23,7729789,6824916,6809875,6788995,6765769,6722405,335,881929,7010671,58.4,376837,111356,409055.7,7,18,18.76
110,123,16,14,13,12,10,3803838,3781509,3776269,3770710,3746681,3669213,19,1421395,3783592,38.61,397967,178590,719447.7,3,8,26.11
111,356,45,41,39,33,27,6710925,6646226,6633500,6619160,6515687,6274785,53,690593,6651330,60.37,278335,95560,315045.5,8,23,18.54
112,156,44,36,34,27,26,5844255,5821455,5804918,5792274,5666696,5632689,50,497930,5825040,59.28,317481,85608,289677.1,8,21,41.72
113,142,39,32,31,24,22,5840901,5817639,5802374,5795570,5666360,5599945,49,616537,5823780,59.28,318078,85651,350677.2,7,18,35.94
114,208,43,40,38,34,30,6055149,6022299,6012590,6000538,5937736,5791079,46,579658,6024369,60.1,273869,77620,285176.8,8,25,14.89
115,602,159,45,44,39,32,6286209,6101992,5923364,5918034,5829626,5587391,301,528849,6200677,59.51,204370,64353,229024.2,10,32,60.41
