"seqID","kbase_suffix","Domain","Phylum","Class","Order","Family","Genus","Species","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings","kbase_file","Marker Lineage","# Genomes","# Markers","# Marker Sets","0","1","2","3","4","5+","Completeness","Contamination","Contamination level"
"1","TCS_genomes_1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475","GCF_018326005.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002901475","98.46","0.935","GCF_018326005.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002901475","98.46","0.935","ani_screen","classification based on ANI only","GCF_016651305.1, s__Pseudomonas_E sp01...","43.12","-","Genome has more than 56.7% of markers with multiple hits","TCS_genomes_1_DRAM","k__Bacteria",5449,103,57,0,41,61,1,0,0,100,57.09,"Very high"
"10","TCS_genomes_1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475","GCF_018326005.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002901475","98.47","0.932","GCF_018326005.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002901475","98.47","0.932","ani_screen","classification based on ANI only","GCF_016651305.1, s__Pseudomonas_E sp01...","92.77","-","-","TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,1,782,30,0,0,0,99.68,3.87,"Low"
"100","TCS_genomes_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","UBA7405","UBA7405 sp002469605","GCA_002469605.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__UBA7405;s__UBA7405 sp002469605","95.69","0.936","GCA_002469605.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__UBA7405;s__UBA7405 sp002469605","95.69","0.936","ani_screen","classification based on ANI only","GCF_017348915.1, s__UBA7405 sp00075553...","96.62","-","-","TCS_genomes_6_DRAM","f__Enterobacteriaceae",223,876,305,1,873,2,0,0,0,99.89,0.12,"Very low"
"101","TCS_genomes_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp009764645","GCF_009764645.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp009764645","95.52","0.91","GCF_009764645.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp009764645","95.52","0.91","ani_screen","classification based on ANI only","GCF_001297015.1, s__Pseudomonas_E sp00...","97.76","-","-","TCS_genomes_6_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11,"Very low"
"102","TCS_genomes_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","UBA7405","UBA7405 sp002469605","GCA_002469605.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__UBA7405;s__UBA7405 sp002469605","95.69","0.937","GCA_002469605.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__UBA7405;s__UBA7405 sp002469605","95.69","0.937","ani_screen","classification based on ANI only","GCF_017348915.1, s__UBA7405 sp00075553...","96.62","-","-","TCS_genomes_6_DRAM","f__Enterobacteriaceae",223,876,305,1,873,2,0,0,0,99.89,0.12,"Very low"
"103","TCS_genomes_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella davisae_A","GCF_016756775.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buttiauxella;s__Buttiauxella davisae_A","97.09","0.913","GCF_016756775.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buttiauxella;s__Buttiauxella davisae_A","97.09","0.913","ani_screen","classification based on ANI only","GCF_003628475.1, s__Buttiauxella sp002...","98.25","-","-","TCS_genomes_6_DRAM","f__Enterobacteriaceae",223,876,305,0,874,2,0,0,0,100,0.11,"Very low"
"104","TCS_genomes_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002878485","GCF_002878485.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002878485","99.2","0.927","GCF_002878485.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002878485","99.2","0.927","ani_screen","classification based on ANI only","GCF_000633255.1, s__Pseudomonas_E sp00...","97.72","-","-","TCS_genomes_6_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22,"Very low"
"105","TCS_genomes_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E shirazensis","GCF_014268785.2","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E shirazensis","99.02","0.919","GCF_014268785.2","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E shirazensis","99.02","0.919","ani_screen","classification based on ANI only","GCF_900536025.1, s__Pseudomonas_E reid...","97.89","-","-","TCS_genomes_6_DRAM","o__Pseudomonadales",185,813,308,0,809,4,0,0,0,100,0.23,"Very low"
"106","TCS_genomes_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002980155","GCF_019212185.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002980155","97.43","0.864","GCF_019212185.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002980155","97.43","0.864","ani_screen","classification based on ANI only","GCF_014236655.1, s__Pseudomonas_E kiel...","97.7","-","-","TCS_genomes_6_DRAM","o__Pseudomonadales",185,813,308,0,810,3,0,0,0,100,0.45,"Very low"
"107","TCS_genomes_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002980155","GCF_019212185.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002980155","97.44","0.866","GCF_019212185.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002980155","97.44","0.866","ani_screen","classification based on ANI only","GCF_014236655.1, s__Pseudomonas_E kiel...","97.7","-","-","TCS_genomes_6_DRAM","o__Pseudomonadales",185,813,308,0,810,3,0,0,0,100,0.45,"Very low"
