"Bin Name","Marker Lineage","# Genomes","# Markers","# Marker Sets","0","1","2","3","4","5+","Completeness","Contamination"
"10_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,1,782,30,0,0,0,99.68,3.87
"11_output__TCS_genomes_1_DRAM","root",5656,56,24,0,0,56,0,0,0,100,100
"12_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,809,4,0,0,0,100,0.78
"13_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22
"14_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.12
"15_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.92,0.43
"16_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.68,0.22
"17_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.92,0.43
"18_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.14
"1_output__TCS_genomes_1_DRAM","k__Bacteria",5449,103,57,0,41,61,1,0,0,100,57.09
"2_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"3_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,810,3,0,0,0,100,0.5
"4_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.27
"5_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,810,3,0,0,0,100,0.5
"6_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,810,3,0,0,0,100,0.5
"7_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.19
"8_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22
"9_output__TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"19_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,1,811,1,0,0,0,99.68,0.11
"20_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,810,3,0,0,0,100,0.76
"21_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,804,9,0,0,0,100,0.69
"22_output__TCS_genomes_2_DRAM","root",5656,56,24,0,0,56,0,0,0,100,100
"23_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,804,9,0,0,0,100,0.69
"24_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"25_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,804,9,0,0,0,100,1.33
"26_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.15
"27_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"28_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"29_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"30_output__TCS_genomes_2_DRAM","f__Enterobacteriaceae",223,876,305,0,873,3,0,0,0,100,0.36
"31_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,1,811,1,0,0,0,99.92,0.11
"32_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"33_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"34_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,1,811,1,0,0,0,99.92,0.11
"35_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"36_output__TCS_genomes_2_DRAM","o__Pseudomonadales",185,813,308,1,811,1,0,0,0,99.68,0.11
"179_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.98,0.43
"180_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"181_output__TCS_genomes_11_DRAM","k__Bacteria",5449,103,57,0,2,99,2,0,0,100,102.12
"182_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22
"183_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,804,9,0,0,0,100,0.82
"184_output__TCS_genomes_11_DRAM","k__Bacteria",5449,103,57,2,15,86,0,0,0,98.09,95.5
"185_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,798,15,0,0,0,100,1.77
"186_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,808,5,0,0,0,100,0.41
"187_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.27
"188_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.43
"189_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.43
"190_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,808,5,0,0,0,100,0.28
"191_output__TCS_genomes_11_DRAM","f__Enterobacteriaceae",223,876,305,0,873,3,0,0,0,100,0.41
"192_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"193_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"194_output__TCS_genomes_11_DRAM","o__Pseudomonadales",185,813,308,1,807,5,0,0,0,99.68,0.54
"195_output__TCS_genomes_11_DRAM","f__Enterobacteriaceae",223,876,305,0,875,1,0,0,0,100,0.08
"196_output__TCS_genomes_11_DRAM","f__Enterobacteriaceae",223,876,305,0,875,1,0,0,0,100,0.08
"196reseq_output__TCS_genomes_12_DRAM","f__Enterobacteriaceae",223,876,305,9,853,14,0,0,0,98.97,1.75
"197_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,2,809,2,0,0,0,99.63,0.19
"198_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"199_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"200_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,2,809,2,0,0,0,99.63,0.19
"201_output__TCS_genomes_12_DRAM","root",5656,56,24,0,0,56,0,0,0,100,100
"202_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"203_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11
"204_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,809,4,0,0,0,100,0.7
"205_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.17
"206_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.17
"207_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.17
"208_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.17
"209_output__TCS_genomes_12_DRAM","c__Gammaproteobacteria",228,583,244,1,581,1,0,0,0,99.94,0.14
"210_output__TCS_genomes_12_DRAM","c__Gammaproteobacteria",228,583,244,1,581,1,0,0,0,99.94,0.14
"211_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.68,0.19
"212_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.68,0.19
"213_output__TCS_genomes_12_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.68,0.19
"213reseq_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.68,0.19
"214_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,810,3,0,0,0,100,0.45
"215_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.15
"216_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,2,809,2,0,0,0,99.35,0.43
"217_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,809,4,0,0,0,100,0.29
"218_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,1,811,1,0,0,0,99.68,0.11
"219_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,808,5,0,0,0,100,1.16
"220_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,1,811,1,0,0,0,99.68,0.11
"221_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,808,5,0,0,0,100,1.16
"222_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,808,5,0,0,0,100,1.16
"223_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,809,4,0,0,0,100,0.29
"224_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22
"225_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,808,5,0,0,0,100,0.7
"226_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.13
"227_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22
"228_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22
"229_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,781,32,0,0,0,100,5.13
"230_output__TCS_genomes_13_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.16
"231_output__TCS_genomes_14_DRAM","f__Enterobacteriaceae",223,876,305,0,834,42,0,0,0,100,3.56
"232_output__TCS_genomes_14_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22
"233_output__TCS_genomes_14_DRAM","root",5656,56,24,0,0,56,0,0,0,100,100
