"curve_id","GC%","Total length"
"100",56.91,4604797
"101",59.22,6319954
"102",56.9,4605564
"103",53.88,4952236
"104",60.13,6413803
"105",61.85,5103319
"106",60.67,6354388
"107",60.67,6354778
"108",60.13,6504976
"109",61.9,5103265
"10",58.4,7010671
"110",38.61,3783592
"111",60.37,6651330
"112",59.28,5825040
"113",59.28,5823780
"114",60.1,6024369
"115",59.51,6200677
"116",60.22,6028985
"117",60.22,6029035
"118",55.15,4919749
"119",60.84,5906515
"11",57.34,10724477
"120",60.9,5734539
"121",59.16,6741753
"122",59.63,6836600
"123",59.86,7201057
"124",60.24,6067222
"125",60.92,6535446
"126",60.9,5535891
"127",58.77,6276600
"128",52.83,4547872
"129",60.32,6594015
"12",62.35,7112102
"130",38.61,3876801
"131",38.61,3877069
"132",60.13,6414069
"133",59.23,6487096
"134",38.52,3873128
"135",66.38,4259228
"136",60.67,6359401
"137",59.1,6339094
"138",59.27,6344835
"139",60.82,5869095
"13",59.93,6102439
"140",55.03,5358160
"141",59.18,4518988
"142",59.18,4519903
"143",59.18,4520091
"144",60.08,5092518
"145",60.08,5094419
"146",60.18,4960484
"147",60.08,5092380
"148",59.75,6874345
"149",60.64,6232833
"14",61.03,5874240
"150",60.65,6508476
"151",59.69,6423646
"152",37.02,4662448
"153",58.89,6938378
"154",58.89,6939116
"155",58.89,6936443
"156",60.35,6525576
"157",60.41,6058597
"158",60.41,6053607
"159",60.41,6055931
"15",60.72,5848934
"160",60.41,6055184
"161",59.97,5594078
"162",58.94,6391489
"163",60.55,6374157
"164",60.94,6297093
"165",67.32,4704666
"166",58.68,6318401
"167",59.6,13091729
"168",58.68,6317699
"169",60.42,6806225
"16",60.81,5883718
"170",60.86,4418978
"171",61.73,4570654
"172",45.38,5105062
"173",58.99,6600286
"174",58.77,7521888
"175",59.83,6677017
"176",60.37,5911009
"177",60.93,6070913
"178",60.1,5923549
"179",59.8,6237842
"17",60.72,5847214
"180",58.58,6868945
"181",58.07,11534464
"182",60.66,6821537
"183",60.67,6614733
"184",60.16,12761192
"185",58.76,7743327
"186",59.08,7531643
"187",59.69,6293804
"188",59.99,5860984
"189",59.99,5858238
"18",60.32,6502804
"190",60.82,5907140
"191",54.59,4971816
"192",60.25,5998545
"193",59.84,5943258
"194",59.37,6851971
"195",55.43,4988472
"196",55.43,4990047
"197",61.02,5886291
"198",61.03,6210336
"199",61.05,6287437
"19",59.16,6719708
"1",54.6,8731465
"200",61.02,5884185
"201",58.73,11216276
"202",60.26,6036913
"203",60.26,6036961
"204",59.94,6066951
"205",60.64,5844296
"206",60.64,5845253
"207",60.64,5847527
"208",60.64,5847041
"209",59.18,4520268
"20",60.1,5653679
"210",59.18,4520843
"211",60.08,5094203
"212",60.08,5094451
"213",60.08,5090099
"214",59.75,6875273
"215",60.66,6213211
"216",60.5,6497820
"217",59.77,6223118
"218",60.49,5946645
"219",60.41,6055673
"21",60.99,7092743
"220",60.49,5945181
"221",60.41,6051985
"222",60.41,6053497
"223",59.78,6223643
"224",58.71,6299511
"225",60.58,6973745
"226",58.99,6599886
"227",59.83,6676337
"228",59.83,6674461
"229",60.66,6817515
"22",57.34,10721312
"230",60.1,5921362
"231",55.34,5078433
"232",60.88,6083439
"233",57.9,10692836
"234",66.8,4274945
"235",58.66,10103211
"236",66.06,4696800
"237",58.49,6469853
"238",60.9,7265188
"239",58.51,6987797
"23",60.99,7092990
"240",55.04,4974360
"241",59.71,6904226
"242",58.69,10540962
"243",59.22,6817058
"244",61.02,5880230
"245",55.43,4989513
"246",61.04,6294455
"247",58.19,11235447
"248",59.92,5968476
"249",60.24,6074402
"24",59.3,5707464
"250",60.26,6033038
"251",60.64,5842276
"252",60.64,5842350
"253",58.3,9664885
"254",58.32,10458649
"255",66.83,4302919
"256",59.18,4520386
"257",66.83,4302840
"258",59.18,4519335
"259",60.08,5093368
"25",59.38,6336199
"260",60.64,5843934
"261",59.58,7029129
"262",58.95,16776604
"263",58.39,11428339
"264",53.59,4571946
"265",53.59,4574432
"266",58.41,11797786
"267",58.22,17883633
"268",59.8,12437310
"269",58.89,6935437
"26",60.19,6143789
"270",60.49,5948224
"271",60.42,6037764
"272",60.41,6053322
"273",60.14,6476590
"274",57.95,11331136
"275",60.6,7751327
"276",60.55,6377838
"277",57.94,11335617
"278",57.57,9377456
"279",58.74,12889110
"27",59.96,5864607
"280",54.6,4973702
"281",58.07,11492808
"282",60.1,5921519
"283",60.1,5924526
"284",55.35,5233743
"285",60.24,9244182
"286",60.2,9211770
"287",57.63,11729457
"288",58.21,17532829
"289",59.99,5859377
"28",60.65,6197997
"290",59.33,6580490
"291",55.87,4728248
"292",58.66,10120632
"293",58.96,8933851
"294",54.59,4972672
"295",55.44,4990368
"296",38.6,3863008
"297",55.43,4990009
"298",61.05,11456678
"299",61.04,6215565
"29",60.87,6234758
"2",60.59,5736540
"300",58.37,11140513
"301",59.22,8081048
"302",55.79,4956051
"303",60.81,6565648
"304",60.81,6565558
"305",60.81,6571527
"306",62.86,5867319
"307",62.86,5869436
"308",62.86,5867946
"309",53.42,4944427
"30",55.05,4771457
"310",60.31,6025956
"311",59.42,6669342
"312",61.05,4441242
"313",57.31,4080896
